class	course	link
17	Intermediate Pāli Course	https://docs.google.com/document/d/1AXSKpmYYuiinQYTBJ133rMZJc53qbZSLr_7UE-syofg/#heading=h.rjtxhuhgy6n
18	Intermediate Pāli Course	https://docs.google.com/document/d/1AXSKpmYYuiinQYTBJ133rMZJc53qbZSLr_7UE-syofg/#heading=h.100477yz6o8v
19	Intermediate Pāli Course	https://docs.google.com/document/d/1AXSKpmYYuiinQYTBJ133rMZJc53qbZSLr_7UE-syofg/#heading=h.onvs4jxc8pa1
20	Intermediate Pāli Course	https://docs.google.com/document/d/1AXSKpmYYuiinQYTBJ133rMZJc53qbZSLr_7UE-syofg/#heading=h.v8x44vohf3o5
21	Intermediate Pāli Course	https://docs.google.com/document/d/1AXSKpmYYuiinQYTBJ133rMZJc53qbZSLr_7UE-syofg/#heading=h.tyjcwt
22	Intermediate Pāli Course	https://docs.google.com/document/d/1AXSKpmYYuiinQYTBJ133rMZJc53qbZSLr_7UE-syofg/#heading=h.wrrj55pw4m6e
23	Intermediate Pāli Course	https://docs.google.com/document/d/1AXSKpmYYuiinQYTBJ133rMZJc53qbZSLr_7UE-syofg/#heading=h.1t3h5sf
24	Intermediate Pāli Course	https://docs.google.com/document/d/1AXSKpmYYuiinQYTBJ133rMZJc53qbZSLr_7UE-syofg/#heading=h.lwpk09449ssl
25	Intermediate Pāli Course	https://docs.google.com/document/d/1AXSKpmYYuiinQYTBJ133rMZJc53qbZSLr_7UE-syofg/#heading=h.z4j703tr6d5a
26	Intermediate Pāli Course	https://docs.google.com/document/d/1AXSKpmYYuiinQYTBJ133rMZJc53qbZSLr_7UE-syofg/#heading=h.sk4u9brgnemh
27	Intermediate Pāli Course	https://docs.google.com/document/d/1AXSKpmYYuiinQYTBJ133rMZJc53qbZSLr_7UE-syofg/#heading=h.rv9spkkfvx2x
28	Intermediate Pāli Course	https://docs.google.com/document/d/1AXSKpmYYuiinQYTBJ133rMZJc53qbZSLr_7UE-syofg/#heading=h.4v3u5rvy4m7q
29	Intermediate Pāli Course	https://docs.google.com/document/d/1AXSKpmYYuiinQYTBJ133rMZJc53qbZSLr_7UE-syofg/#heading=h.llwlmldo2ibx
30	Advanced Pāli Course	https://docs.google.com/document/d/1VoFPr2jqJbQEQgT_UbuhxpzHM_H_mqX3BCy3vMdqiUc/#heading=h.xt3055kj3u3f
31	Advanced Pāli Course	https://docs.google.com/document/d/1VoFPr2jqJbQEQgT_UbuhxpzHM_H_mqX3BCy3vMdqiUc/#heading=h.h6g3ex3hsr1l
32	Advanced Pāli Course	https://docs.google.com/document/d/1VoFPr2jqJbQEQgT_UbuhxpzHM_H_mqX3BCy3vMdqiUc/#heading=h.csnptkyfuic9
33	Advanced Pāli Course	https://docs.google.com/document/d/1VoFPr2jqJbQEQgT_UbuhxpzHM_H_mqX3BCy3vMdqiUc/#heading=h.8g5c1nk4l7k7
34	Advanced Pāli Course	https://docs.google.com/document/d/1VoFPr2jqJbQEQgT_UbuhxpzHM_H_mqX3BCy3vMdqiUc/#heading=h.fnrtqj1w1e1v
35	Advanced Pāli Course	https://docs.google.com/document/d/1VoFPr2jqJbQEQgT_UbuhxpzHM_H_mqX3BCy3vMdqiUc/#heading=h.tx9p3q8r2630
36	Advanced Pāli Course	https://docs.google.com/document/d/1VoFPr2jqJbQEQgT_UbuhxpzHM_H_mqX3BCy3vMdqiUc/#heading=h.63qja4jqyjfb
37	Advanced Pāli Course	https://docs.google.com/document/d/1VoFPr2jqJbQEQgT_UbuhxpzHM_H_mqX3BCy3vMdqiUc/#heading=h.a9wtbtacc74q
38	Advanced Pāli Course	https://docs.google.com/document/d/1VoFPr2jqJbQEQgT_UbuhxpzHM_H_mqX3BCy3vMdqiUc/#heading=h.vtt0mrk0y3s1
39	Advanced Pāli Course	https://docs.google.com/document/d/1VoFPr2jqJbQEQgT_UbuhxpzHM_H_mqX3BCy3vMdqiUc/#heading=h.hirmha5w5o87
40	Advanced Pāli Course	https://docs.google.com/document/d/1c5E1-xA5OEKOC_myMBqVzdcEkoyiqfurAphMLz7JmnQ/#heading=h.c2qpipluj75s
41	Advanced Pāli Course	https://docs.google.com/document/d/1c5E1-xA5OEKOC_myMBqVzdcEkoyiqfurAphMLz7JmnQ/#heading=h.hujdmgrxn0er
42	Advanced Pāli Course	https://docs.google.com/document/d/1c5E1-xA5OEKOC_myMBqVzdcEkoyiqfurAphMLz7JmnQ/#heading=h.pa33bqqt56b1
43	Advanced Pāli Course	https://docs.google.com/document/d/1c5E1-xA5OEKOC_myMBqVzdcEkoyiqfurAphMLz7JmnQ/#heading=h.uxjn2bl2s8kh
44	Advanced Pāli Course	https://docs.google.com/document/d/1c5E1-xA5OEKOC_myMBqVzdcEkoyiqfurAphMLz7JmnQ/#heading=h.ahildl7e7fp
45	Advanced Pāli Course	https://docs.google.com/document/d/1c5E1-xA5OEKOC_myMBqVzdcEkoyiqfurAphMLz7JmnQ/#heading=h.diwn2pkxgt7x
46	Advanced Pāli Course	https://docs.google.com/document/d/1c5E1-xA5OEKOC_myMBqVzdcEkoyiqfurAphMLz7JmnQ/#heading=h.iel7ix6ma3zg
47	Advanced Pāli Course	https://docs.google.com/document/d/1c5E1-xA5OEKOC_myMBqVzdcEkoyiqfurAphMLz7JmnQ/#heading=h.5kkkj08vtyug
48	Advanced Pāli Course	https://docs.google.com/document/d/1c5E1-xA5OEKOC_myMBqVzdcEkoyiqfurAphMLz7JmnQ/#heading=h.mnn081bx2g7z
49	Advanced Pāli Course	https://docs.google.com/document/d/1c5E1-xA5OEKOC_myMBqVzdcEkoyiqfurAphMLz7JmnQ/#heading=h.2jx9e6dfncu1
50	Advanced Pāli Course	https://docs.google.com/document/d/1c5E1-xA5OEKOC_myMBqVzdcEkoyiqfurAphMLz7JmnQ/#heading=h.nq9j3nwb1hxs
51	Advanced Pāli Course	https://docs.google.com/document/d/18IBPFP0zs3ngEV-Ps5MmiGwaFtuz_2r3AqsZBlksPIQ/#heading=h.i94dpq8dwyfj
52	Advanced Pāli Course	https://docs.google.com/document/d/18IBPFP0zs3ngEV-Ps5MmiGwaFtuz_2r3AqsZBlksPIQ/#heading=h.is551l2lu9xv
53	Advanced Pāli Course	https://docs.google.com/document/d/18IBPFP0zs3ngEV-Ps5MmiGwaFtuz_2r3AqsZBlksPIQ/#heading=h.xbpo5wpofxwt
54	Advanced Pāli Course	https://docs.google.com/document/d/18IBPFP0zs3ngEV-Ps5MmiGwaFtuz_2r3AqsZBlksPIQ/#heading=h.fjh1agol5h9o
