id,pali,pos,meaning
893,acirapabbajita,adj,recently ordained
2476,attadīpa,adj,self-reliant; independent
3404,adhunā,ind,recently; now; presently; at this time
4333,anukampaṃ upādāya,idiom,out of compassion
4334,anukampā,fem,compassion (for); pity (for); concern (for)
6913,appattamānasa,adj,not fulfilled one's wish (of); not reached the goal (of); not mentally attained; (comm) not attained arahantship
7067,appahīna,pp,not removed; not given up; not abandoned
7572,abhikkamosānaṃ,sandhi,their increase; worsening of these
8537,amaritukāma,adj,not wishing to die
8732,ayana 1,nt,going; way
10707,avihaññamāna,prp,not annoyed; not irritated; not upset; untroubled
10844,ahañhi,sandhi,I truly; I certainly
11156,āgata 3,pp,come (from); arrived (from); returned (from)
11288,ācariya 1,masc,teacher; religious leader
12419,ārammaṇa 2,nt,chance; opportunity
16350,upādāya 1,ger,taking; taking up; grasping (onto); taking possession (of)
17955,etha,imp,come you all!
19264,kacci 1,ind,I hope; I trust; I wonder
20574,kalandaka,masc,squirrel
20575,kalandakanivāpa,masc,name of a park outside Rājagaha
20639,kalyāṇa 1,adj,good; favourable; propitious; beneficial; lovely
25212,gelañña,nt,sickness; ill health
28629,jīvitukāma,adj,wishing to live; wanting to stay alive
28630,jīvituṃ,inf,to live; to remain alive; to survive
32799,dīpa 2.2,masc,terra firma; solid ground; support; help; refuge; place of safety; epithet of Nibbāna
32892,dukkhadomanassa,nt,discomfort and distress; pain and stress; physical pain and mental suffering
33962,desa 1,masc,place; location; region; area
34734,dhammadīpa,adj,with Dhamma as one's place of safety; with Dhamma as one's solid ground
34875,dhammasaraṇa,adj,taking refuge in the Dhamma; relying on the Dhamma; finding support in the teaching
38156,nisajja,ger,sitting down
38446,nivāsetvā,abs,having dressed up (in); having robed up; having put on; having donned
38493,nivesetabba,ptp,should be established (in); should be settled (in)
39074,pakkamati 1,pr,goes (from); goes away (from); leaves (from)
40229,paṭikūla 2,adj,averse to; not wanting
41814,patirūpa,adj,suitable (for); proper (for); appropriate (for); befitting (for)
42293,panassa,sandhi,and for him; and his
42308,panāhaṃ,sandhi,but I; then I; and I
42335,panetaṃ,sandhi,and this; but this
43414,pariññāya,ger,completely comprehending; fully understanding
44325,pariharati 3,pr,takes care (of); looks after; maintains
46853,pubbaṇhasamayaṃ,ind,early in the morning
48407,bāḷhagilāna,adj,extremely ill; very sick; with strong illness
50827,maññe,ind,methinks; one might say; you'd think; as it were
53542,yattha,ind,wherever; where; when; in which
53841,yasmiṃ 1,pron,in whoever; in whichever; at whichever
53888,yaṃnūnāhaṃ,sandhi,what if I were to; let me; I shall; perhaps I
55722,lābha 1,masc,gain; acquisition; benefit; profit
58406,sandissati 1,pr,knows well; has first-hand experience (of)
59264,samatikkama,masc,surpassing (of); overcoming (of); going beyond; transcendence
63458,sukhakāma,adj,wishing for ease; desiring comfort
64800,sekha 1,masc,trainee; apprentice; learner; initiate; (comm) seven stages of a noble person before arahantship
65095,sokaparideva,masc,sorrow and lamentation; sadness and crying
68788,viya,ind,like; as
69305,visuddhi 1.1,fem,purity (of); purification (of); holiness
69716,vihāsi 1,aor,lived; remained; stayed in
70487,vesālī,fem,name of a city; capital of the Licchavis
70536,veḷu 1,masc,bamboo; Bambusa balcooa
70557,veḷuvana,nt,name of a park outside Rājagaha
70807,hattha 1,masc,hand
