id,pali,pos,meaning
109,akammāsa,adj,unblemished; spotless; pure
441,akhaṇḍa,adj,unbroken; unfragmented; whole
1077,acchidda 1,pp,unbroken; flawless; without cracks
1546,aññathā 1,ind,differently; otherwise
2202,atipātī 1,adj,attacking; harming; killing
2901,adinnādāyī 1,adj,who steals; who takes what is not offered
3497,anajjhosita,pp,not fixed; not clinging; unattached
3758,anabhinandita,pp,without delight in; not enjoyed; not pleased with
3782,anabhisaṅkharonta,prp,not creating; not imagining; not forming ideas
3783,anabhisañcetayanta,prp,not thinking (about); not devising (for); not planning (for)
3946,anāthapiṇḍika,masc,name of the Buddha's chief lay disciple
4817,anupādiyanta,prp,not attaching (to); not taking as mine; not grasping (onto); not clinging (to); not taking possession (of)
4937,anuppādadhamma,adj,never arising again
5672,antamaso 1,ind,even so much as; even with; even down to; with as little as
5675,antara 1,adj,inside; inner; internal; within
6331,aparāmaṭṭha,pp,not grasped; not clung to; (comm) irreproachable
6358,aparitassanta,prp,being unperturbed; being unshaken
6697,apuñña 1,nt,demerit; loss of spiritual wealth
7924,abhinivesa 1,masc,adherence (to); sticking (to); insistence; fixation
9490,asabala,adj,unspotted; not mottled; not patchy
10273,avatthu,adj,without base; without grounds; without foundation
10535,avijjāpaccayā,ind,dependent on ignorance; due to not understanding
10561,avijjāvirāga,masc,fading of ignorance; cessation of nescience
10771,avecca 1,ind,perfectly; absolutely; (comm) having gone deeply with wisdom
10777,aveccappasāda,masc,faith founded in understanding; epithet of stream entry
10921,ahu 1.1,aor,was
11454,ātapa 1,masc,heat; heat of the sun; sunshine
11528,ādāyī,adj,taking; receiving; accepting
11774,ānisaṃsa 1,masc,profit (in); benefit (in); advantage (of); good result (of)
11806,āneñja 2,adj,imperturbable; motionless; perfectly still; (comm) fourth jhāna
11873,āpatti 1,fem,entering; going into
11940,āpānīya,ptp,suitable for drinking; fit for drinking with
11941,āpānīyakaṃsa,masc,cup; goblet
12528,ārogya 1,nt,health; wellness; freedom from disease
13639,iddha,pp,wealthy; prosperous; thriving; successful
13716,idheva,sandhi,right here; just here; only here
13825,imehi 1,pron,by these; with these
14370,ucchinnamūla,adj,cut at the root; eradicated at the source
14407,ujuppaṭipanna,adj,living morally upright life; on the straight path
15209,uddharati 1,pr,pulls up; pulls out; lifts up; raises
15236,uddhaṃ 3,ind,after; afterwards
15683,upadhi 1,masc,attachment; taking as mine; appropriation; acquisition; sense of ownership; identification
15855,upapajjati 1,pr,is reborn (in); re-arises (in)
16365,upādiyati,pr,grasps; holds (onto); clings (to); takes possession (of)
16430,upāsikā,fem,female disciple; laywomen; female devotee
18047,esevanto,sandhi,just this is the end (of)
