id,pali,pos,meaning
4325,anukampaka,adj,compassionate (towards); kind (to); concerned (for)
8454,amata 1.1,nt,deathless state; immortality; epithet of Nibbāna
28813,jhāyati 1.2,pr,meditates; contemplates
42690,pamādattha,sandhi,(you all) be careless!; be negligent!; be heedless!
57880,satthar 1,masc,master; teacher
57901,satthārā,masc,by the teacher; with the master
63744,suññāgāra 1,nt,empty dwelling; uninhabited place
63948,suddhi,fem,purity; purification; holiness; epithet of Nibbāna
68472,vippaṭisārī,adj,remorseful; regretful; repentant; sorry
71237,hitesī 1,adj,benevolent (towards); who wishes well (for); who wants the best (for)
