id,pali,pos,meaning
902,acirūpasampanna,adj,not long after one ordained; shortly after ordination
1849,aṭṭhāsi 1,aor,stood; stayed; remained
3807,anaya 1.1,masc,trouble; tragedy; misfortune; calamity; (comm) suffering
6971,appamāṇa 1,adj,immeasurable; unlimited; limitless; boundless
7459,abrahmacārī,adj,not celibate; not leading the holy life; sexually active
9148,alattha 1,aor,got; obtained
9982,assamaṇa 2,masc,fake monk
10418,avassuta,pp,seeping (with); oozing (with); overflowing (with); flooded (with lust)
11718,ānanda 2,masc,"name of an arahant monk; attendant of the Buddha; great disciple of the Buddha; foremost disciple in great learning, remembrance, conduct, resoluteness and service"
11900,āpanna 1,pp,fallen into; entered into; met with
12123,āmisagata,adj,(of a fishing hook) baited
13147,āvuso,ind,sir; sirs; venerable; venerables; reverend; reverends
13415,iṭṭha 1.1,pp,pleasing; likeable; cherished; wished for
13715,idhekacca,pron,here one; here a certain; in this case some; some people here
13809,iminā,pron,with this; by this
14881,udakarahada,masc,lake; deep pool of water
16130,upasampadā 2,fem,(vinaya) higher ordination as monastic
16164,upasaṃhita 1,pp,connected (with); concerning; to do (with); based (on)
18114,evampi,sandhi,likewise; just like this; similarly; so too
19956,kanta 1.1,pp,charming (to); pleasant (to); desirable; agreeable (to)
20732,kasambu,masc,rubbish; filth
20736,kasambujāta,adj,rotten; filthy; rubbish
21621,kiccakaraṇīya,nt,work to be done; duties to do
24443,gamissati 1,fut,will go
24450,gambhīra 1,adj,deep
24946,gilati,pr,swallows; devours; eats
25037,gihī,masc,householder; layperson
25342,gopālaka,masc,young cowherd; young cowboy
26212,caparaṃ,sandhi,and further; and what is more
26477,cārī 1.1,adj,living; acting; behaving; conducting oneself
27524,chayime,sandhi,these six
29295,tañca 1,sandhi,and that
29301,tañce,sandhi,if that; if him
29835,tadubhaya,adj,both of those
33839,dussīla 1,adj,unprincipled; immoral; of bad behaviour
34874,dhammasammudita,adj,pleased with mental phenomena; enjoying thinking
36426,nāma 1,ind,certainly; truly; for sure
37206,nidānaṃ,ind,due to; because of
38340,nissita 1,pp,dependent (on); supported (by); based (on); relying (on)
40082,paññāyetha,opt,it would be apparent; it would be evident; it could be discerned
40109,paññāvimutti,fem,liberation by understanding; emancipation by insight
40385,paṭicchannakammanta,adj,with concealed deeds; who is furtive in action; who is underhanded in business; (comm) bad deed
40896,paṭisaṃvediyetha,opt,one oneself could experience
42552,pabbhāra 1,adj,sloping (towards); inclining down (towards); leading (to); aiming (at)
42654,pamatta 1,pp,careless; heedless; negligent; inattentive
43350,paricita 1,pp,practised; rehearsed; consolidated; familiarized
45140,pahīyati 1.1,pr,is abandoned; is given up
45576,pāpa 1,adj,evil; criminal; wrong; bad; vicious
45606,pāpadhamma 1,adj,evil-natured; of bad character
45726,pāra 1.1,nt,far side; far shore; bank on the other side (of); epithet of Nibbāna
45847,pālaka 1,masc,shepherd; herder
46170,piya 1,adj,dear (to); beloved (by); loved (by)
47186,pūti 1,adj,fermented; foul-smelling; fetid; stinking; rotten; putrid
48227,baḷisa 1,nt,fishing hook
48404,bāḷisika,masc,fisherman
48928,brahmacariyavāsa,masc,living the holy life; following the spiritual path
48941,brahmacāripaṭiñña,adj,pretending to be celibate; claiming to be chaste
50639,maccha,masc,fish
51140,manāpa 1,adj,pleasant; likeable; attractive; agreeable
51680,mahākoṭṭhika,masc,name of an arahant monk; great disciple of the Buddha; foremost disciple in analytical understanding
54031,yāvatā 1,ind,as long as; as far as; of all; to the extent that
54177,yenāyasmā,sandhi,where venerable
54511,rata,pp,delighted (with); devoted (to); taking pleasure (in); pleased (with); enjoying
54764,rahada,masc,deep pool; lake
55643,labheyyāhaṃ,sandhi,may I get; I would like to receive
56633,saṅkassara,adj,suspect; dodgy; doubtful; (comm) remembered with suspicion
56639,saṅkā,fem,doubt; suspicion; uncertainty
58273,santiṭṭhati 1,pr,remains still; stands still; settles down
59193,samaṇapaṭiñña,adj,claiming to be a monk; pretending to be a monastic
59555,samācāra,masc,conduct; behaviour; activity
61401,sahanandī,adj,sharing in each other's happiness; rejoicing together
61429,sahasokī,adj,sharing in one another's sorrows; grieving together
61661,saṃyutta 1,pp,bound (with); connected (to); fettered (with); tied (to)
62361,sāmika 1,masc,owner
62511,sārāṇīya,ptp,polite; pleasant; charming; (comm) fit to be remembered
62518,sāriputta,masc,name of an arahant monk; chief disciple; great disciple of the Buddha; foremost disciple in great wisdom
63146,sīla 1,nt,ethical conduct; virtue; moral integrity
63455,sukha 1,adj,easy (on); comfortable (for); pleasant (for); good (for); contented
65197,sota 1.1,masc,stream; river; current
65968,vata 2.1,nt,religious duty; spiritual practice; ritual observance; vow
66084,vatthu 6,nt,basis (for); grounds (for)
66734,vāta 1,masc,wind
66981,vāsa 1.1,masc,living; dwelling; residence; staying
67580,vijānāti 1,pr,comprehends; understands; recognises; distinguishes; is aware (of)
67804,viññeyya 2,ptp,could be known; should be recognized
67976,viditvā 2.1,abs,having known; having perceived; having understood
