id,pali,pos,meaning
7455,abrahmacariya 1,nt,unchastity; uncelibacy
11225,āgamma 2,ind,owing (to); relating (to); due (to); concerning
20667,kalyāṇamittatā,fem,fact of having excellent friendship; fact of having spiritual companionship
42476,pabbajita 1,masc,monk; monastic; renunciant; renunciate
52579,micchāājīva 1,adj,with wrong livelihood; having a wrong mode of living
52657,mitta 1,masc,friend
52889,muṇḍa 1,adj,bald; bald-headed; shaven
53051,musāvāda,masc,lying; false speech
53516,yañhi,sandhi,which certainly; whatever indeed
60824,sammāpaṭipanna,adj,practising correctly; going the right way
62602,sālohita,masc,blood relative
64759,sūriya 1,masc,sun
66692,vācā 1,fem,speech; words; statement; talk
