id,pali,pos,meaning
1507,aññatara 1,pron,a certain; a
1536,aññatra 2,ind,apart (from); aside (from); other (than); except (for); without
2741,atthika 2.1,adj,wanting; in need (of); desiring; seeking
3037,addhuva,adj,not stable; not enduring; not eternal
4140,aniccasaññā,fem,recognition of impermanence (in); perception of instability (in); concept of inconsistency
5217,anusaya,masc,underlying tendency (to); inherent inclination (to); dormant disposition (towards); propensity (to)
5532,anekavihita,adj,various; different kinds of; many different
6258,apara 1,adj,another; after; further; next
6692,apucchi,aor,asked; enquired (somebody about)
6957,appamatta 1.1,pp,diligent (in); vigilant (about); careful (about); attentive (to)
8335,abhivādetvā,abs,having bowed down (to); having paid high respect (to)
8993,ariyadhamma 2,masc,teaching of the Buddha; noble teaching
10988,ākaṅkhati,pr,wishes (for); wants; desires; aspires (for)
12243,āyasmā,masc,venerable
12279,āyu 1,nt,life
12746,āsaṅga,masc,robe; cloak
13539,itthatta 1,nt,present state of existence; earthly existence; such an existence
13646,iddhi 1,fem,psychic power; psychic potency; supernormal ability
14533,uṭṭhāya,ger,rising (from); emerging (from); getting up (from)
16618,uppala 1,nt,blue water lily; (comm) (or) aquatic flower in general
17378,eka 3,adj,alone; single; solitary
17894,etassa 2,pron,of this
18077,evamassa 1,sandhi,he would (think) thus; this would occur to him
19371,kaṭṭha 1.1,nt,stick; plank; log; wood; timber
20450,karaṇa 1,adj,doing; making; causing; effecting
20521,karīsa 1,nt,faeces; excrement
21658,kiñci 2,pron,some; something; anything
24914,gimhā,masc,hot season; summer
25745,cakkhumant 1,adj,with eyes; who can see; who has vision; gifted with sight
25848,catasso,card,four (4)
25849,catu,card,four (4)
26128,cattāro,card,four (4)
26262,caraṇa 1.1,nt,behaviour; conduct; (theory and) practice
26759,cira,adj,(of time) long
26788,cirassa,ind,after a long time
26791,cirasseva,sandhi,after a very long time
27021,ce 1,ind,if
28178,jāta 1,pp,born; born (in); born (from)
28313,jānāti 1,pr,knows; understands
29087,ṭhita 1,pp,stood; stood still
30024,tamahaṃ,sandhi,him I; that I
31220,tenañjaliṃ,sandhi,hands in reverential salutation towards someone
31244,tepi,sandhi,they too; and those too
31974,damma 1.1,ptp,able to be tamed; fit to be trained; tameable; trainable
32108,dassana 3,nt,insight; realization; spiritual vision
32201,daḷha 1,pp,strong; firm; steady
32650,disā 1,fem,direction; cardinal point
35086,dhānī,fem,seat; capital
35460,nacirasseva,sandhi,after only a short time
35765,nabhas,masc,sky
36029,nāga 3,masc,tusker; bull elephant
36370,nāpara 1,nt,nothing more; nothing further; no future state
39375,paccaya 1,masc,support; requisite; necessity
39984,paññapeti 1,pr,teaches; preaches; proclaims
40131,pañha 2,masc,question; enquiry
41538,paṇāmetvā 2,abs,(of hands) having stretched out (in reverential salutation)
41608,paṇḍita 2,masc,sage; intelligent person; wise man; smart person
41988,patha 1,masc,path; road; way
42180,paduma 1,nt,lotus; (specifically) pink lotus; (comm) lotus with more than one hundred petals; (or) white lotus
42303,panāyasmā,sandhi,and venerable
42364,pannarasa 2,masc,fifteenth day of the lunar fortnight
42469,pabbajati,pr,ordains as a monastic; renounces the household life
44460,palāyati,pr,runs away; flees; escapes
44738,passati 1,pr,sees
44968,pavisati,pr,enters; goes (into)
46585,puṇḍarīka 1,nt,lotus; (specifically) white lotus; (comm) lotus with less than one hundred petals; (or) pink lotus
46592,puṇṇa 2,pp,(of the moon) full; complete
46609,puṇṇamā,fem,night of the full moon
47057,purisadammasārathi,masc,trainer of tameable persons
48661,bodhi 1,fem,awakening; enlightenment
48684,bodhisatta 1,masc,Buddha before his awakening
49409,bhabba 1,ptp,able (to); capable (of); possible (to); likely (to); fit (to)
49433,bhaya 2,nt,fear (of); terror (of); fright; dismay
49753,bhāsati 1.1,pr,speaks (about); talks (about); says
50038,bhīta 1,pp,afraid (of); frightened (by); terrified (of)
50717,majjha 1,adj,middle of; mid-
51576,mahatā 1,adj,with a great; with a large
52054,mahiddhika,adj,of great supernormal power; magically powerful
52256,māna 1.1,masc,pride; conceit; egotism; superiority; comparing oneself
52305,mānānusaya,masc,underlying tendency towards conceit; inherent inclination towards comparison (in terms of I)
52918,mutta 1.1,nt,urine
53097,mūlaka 1,adj,rooted in; originating in; stemming from; because of
53819,yasas,masc,fame; reputation; renown; honour; glory; prestige
54947,rājā,masc,king; sovereign; lord; ruler
56030,lokavidū,masc,who knows the world; who understands the universe; epithet of the Buddha
56431,sakkāya,masc,personal existence; individual identity; mind-body complex; embodiment; embodied being; (view that) one is the owner of the body and mind
57179,sacchikatvā,abs,having personally experienced; having realized for oneself
57894,satthā,masc,teacher; master; the Buddha
58152,santa 1.1,prp,existing; being; there is
59691,samāna 2.1,prp,being; having; existing
60737,sammadeva 2,sandhi,rightly; correctly; truly
61279,sassata,adj,eternal; everlasting; endless; perpetual; (comm) existing forever
61582,saṃkhittena,ind,in brief; concisely
62221,sādhu 2,ind,well; thoroughly; clearly
62223,sādhu 4,ind,well said!; excellent!
62402,sāyanha,masc,evening
62471,sārathi 3,masc,leader
62984,siyā 1,opt,could be; may be; might be; should be
63609,sugata 2,masc,Accomplished One; Fortunate One; epithet of the Buddha
65967,vata 1.2,ind,certainly; surely; indeed
67624,vijjā 1,fem,knowledge; wisdom; understanding
67628,vijjācaraṇa,nt,understanding and action; wisdom and ethical conduct; theory and practice
67631,vijjācaraṇasampanna,adj,endowed with knowledge and conduct; accomplished in understanding and action; perfect in wisdom and moral conduct
67947,vitthārena 1,ind,in detail; in full; thoroughly
67984,vidū 2,masc,wise man; seer
