id,pali,pos,meaning
3849,anavajja 1,ptp,irreproachable; faultless; blameless; innocent
8502,amanāpa 1,adj,unpleasant; dislikeable; disagreeable; detestable
8881,arati 1,fem,dissatisfaction; dislike; discontent; aversion; boredom listlessness
10189,avacara 1,adj,accustomed (to); familiar (with); at home (in)
10551,avijjāsava,masc,effluent of ignorance
12407,ārambha 1.1,masc,arousing energy; making an effort; initiative
12414,ārambhadhātu,fem,arousing energy; initiative; (comm) first effort
13760,indriyasaṃvara,masc,control of the mind; sense restraint
18082,evamassu,sandhi,they should be like this
20800,kassapa 3,masc,family name
20982,kāmacchanda,masc,interest in sensual pleasure; sensual desire (for); sensual impulse (for)
21094,kāmāsava,masc,effluent of sensual pleasure; oozing sensual desire
26453,cāyasmā,sandhi,and venerable; but reverend
29898,tandī,fem,laziness; sloth; tiredness
30188,tassime,sandhi,for him these
33061,duccarita 2,nt,misconduct; misbehaviour; bad behaviour (by)
36731,nikkamadhātu,fem,principle of endurance; element of persistence; (comm) stronger effort
38108,nirodhanissita,adj,based on ending; supported by cessation; by means of finishing
42340,paneva,sandhi,now if; and just; further
42877,parakkamadhātu,fem,perseverance; continuous effort; persistence
43444,pariṇāmī,adj,developing (into); ripening (in); culminating (in); maturing (in); inclining towards
43744,paribbājaka,masc,homeless spiritual seeker; wandering ascetic
45799,pāripūri 1,fem,fulfilment (of); completion (of); culmination (of); maturity (of)
49304,bhattasammada,masc,drowsiness after eating; passing out after eating
49613,bhavāsava,masc,effluent of becoming; effluent of being
49804,bhāvanāpāripūri,fem,maturity by development; completion by cultivation; full development by meditation
49822,bhāvayanta,prp,cultivating; developing
50103,bhutta 1,pp,eaten; finished eating
51668,mahākassapa,masc,name of an arahant monk; great disciple of the Buddha; foremost disciple in preaching ascetic practices
52758,mukha 1,nt,mouth
54321,yonisomanasikāra,masc,radical attention; paying proper attention; prudently applying the mind; wise reflection; focussed attention; attention to the source
59670,samādhisambojjhaṅga,masc,stability of mind as an element of awakening; mental composure as a factor of enlightenment
60728,sammada 1,masc,intoxication; poisoning
63655,sucarita 2,nt,good conduct (by); good behaviour (by)
64207,subha 1,adj,beautiful; attractive
64616,suvimutta,adj,thoroughly freed; correctly liberated; perfectly emancipated
65600,vacanīya 2,ptp,should be spoken (to); should be told (to); should be said (to)
65611,vacī 1,adj,verbal; with speech
66778,vāda 3,masc,debate; argument; disputation
67414,vicaya,masc,investigation; examination; probing; analysis; discrimination
67551,vijambhitā,fem,yawning; stretching
68879,virāganissita,adj,based on fading of desire; supported by dispassion; by means of detachment
69618,vivekanissita,adj,based on seclusion; supported by detachment; by means of disengagement
69981,vuṭṭhahi 2,aor,(of an illness) recovered from
70643,vossagga 2,masc,complete relinquishment; release; letting go; giving up
70644,vossaggapariṇāmī,adj,developing into complete relinquishment; ripening in release; culminating in letting go
