id,pali,selected_pali_word,class_source,extra,class_example,english_translation
468,agacchi,agacchiṃ,MN39 (simpl),,ahaṃ sakamhā gāmā amuṃ gāmaṃ <b>agacchiṃ</b>,I went from my own village to such-and-such a village.
648,aggi,agginā,SN35.28 (modif),yes,rāgassa <b>agginā</b> dosassa agginā mohassa agginā saddo ādippati,"The sound is burning with the fire of lust, with the fire of hatred, with the fire of delusion."
840,aṅgulimāla,aṅgulimālo,MN86,,"coro ahaṃ pure āsiṃ, <b>aṅgulimālo</b> vissuto … buddhaṃ saraṇaṃ āgamiṃ","I was formerly a thief, the famous Angulimāla … I came to the Buddha (for) refuge."
1849,aṭṭhāsi 1,aṭṭhāsiṃ,MN39 (simpl),,tatra evaṃ <b>aṭṭhāsiṃ</b> evaṃ nisīdiṃ evaṃ abhāsiṃ evaṃ tuṇhī ahosiṃ,"There I stood, I sat, I spoke, and I remained silent."
2736,atthi 1.1,atthi,MN10 (simpl),,<b>atthi</b> kāyo'ti sati hoti,There is mindfulness: “there is a body.”
2788,atha kho 1,atha kho,UD45,,<b>atha kho</b> bhagavā bhikkhū āmantesi,And then the Blessed One addressed the monks.
5083,anuyuñjati 2,anuyuñjanti,DHP26 (simpl),,bālā pamādaṃ <b>anuyuñjanti</b>,Fools indulge in negligence.
6692,apucchi,apucchimha,MN95 (simpl),,"saccaṃ bhavantaṃ gotamaṃ <b>apucchimha</b>, saccaṃ bhavaṃ gotamo byākāsi",We asked Master Gotama (about) the truth; Master Gotama explained the truth.
7510,abhāsi 1,abhāsiṃ,MN39 (simpl),,tatra evaṃ aṭṭhāsiṃ evaṃ nisīdiṃ evaṃ <b>abhāsiṃ</b> evaṃ tuṇhī ahosiṃ,"There I stood, I sat, I spoke, and I remained silent."
7791,abhinandi 1,abhinandi,SN35.121,,āyasmā rāhulo bhagavato bhāsitaṃ <b>abhinandi</b>,Venerable Rahula delighted in the speech of the Blessed One.
8148,abhisaṅkharoti 2,abhisaṅkharoti,AN3.70,,<b>abhisaṅkharoti</b> kāyena kusalaṃ,He does good deeds by means of the body.
8575,amu,amuṃ,MN39 (simpl),,ahaṃ sakamhā gāmā <b>amuṃ</b> gāmaṃ agacchiṃ,I went from my own village to such-and-such a village.
8690,amha 1.1,amhā,MN39,,samaṇā <b>amhā</b>'ti paṭijānātha,"You all claim, “We are ascetics.”"
8702,amhi,amhi,AN5.57,,byādhi dhammo <b>amhi</b>,I am of the nature to get sick. (lit. I am of the sickness nature)
8972,ariya 1,ariyassa,AN5.28 (simpl),,ariyassa samādhissa bhāvanaṃ desesiṃ,I taught the cultivation of noble composure.
9100,aroga,arogā,AN3.156,,<b>arogā</b> sukhitā hotha,May you all be happy (and) free from disease.
9719,asi 2.1,asi,DHP153 (simpl),,"gahassa kāraka, diṭṭho <b>asi</b>","Builder of a house, you are seen."
