id,pali,selected_pali_word,class_source,extra,class_example,english_translation
8292,abhivaḍḍhati,abhivaḍḍhanti,AN3.79,,kusalā dhammā <b>abhivaḍḍhanti</b>,Wholesome states of mind increase more and more.
11370,ājānāti 1,ājānāma,MN43,,āyasmato sāriputtassa bhāsitaṃ evaṃ <b>ājānāma</b>,We understand the statement of venerable Sāriputta thus.
12076,āmantayati 1,āmantayati,DN19.7 (simpl),,rājā jotipālaṃ māṇavaṃ <b>āmantayati</b>,"The king addresses the young gentleman (brahmin), Protector of the Light (Jotipāla)."
11718,ānanda 2,ānanda,MN104 (simpl),,"passatha, <b>ānanda</b>, vacanassa pathaṃ","You see, Ānanda, a course of speech"
5326,anussarati 1.1,anussarati,AN3.71 (simpl),,sāvako dhammaṃ <b>anussarati</b>,The disciple recollects the Dhamma.
11874,āpatti 2,āpattiṃ,VIN,,passasi taṃ <b>āpattiṃ</b>,You see that offence.
2597,attha 1.1,attho,SN22.1 (simpl),yes,sādhu āyasmantaṃ sāriputtaṃ paṭibhātu etassa bhāsitassa <b>attho</b>,It would be good if the meaning of this statement may become evident to Venerable Sāriputta. (so that he could explain it to us); Fig: It would be good if Ven. Sāriputta would explain the meaning of this statement.
49753,bhāsati 1.1,bhāsissāmi,MN36,,"taṃ suṇāhi, sādhukaṃ manasi karohi, <b>bhāsissāmi</b>","Listen to that, pay attention, I will speak."
49558,bhavantaṃ,bhavantaṃ,MN4,,ahaṃ <b>bhavantaṃ</b> gotamaṃ saraṇaṃ gacchāmi,I go for refuge to the master Gotama
50083,bhuñjati 1,bhuñja,VIN PAT PC 36,,handa bhikkhu khāda vā <b>bhuñja</b> vā,"Come on, bhikkhu, eat or consume!"
27111,ceteti 2,ceteti,SN35.248 (simpl),,puthujjano punabbhavāya <b>ceteti</b>,A common person intends for rebirth.
26837,cīvaracetāpanna,cīvaracetāpannaṃ,VIN PAT NP 10,,paṭiggaṇhātu āyasmā <b>cīvaracetāpannaṃ</b>,Let the venerable receive the robe-fund.
31761,daṇḍa 1,daṇḍassa,DHP130,,sabbe tasanti <b>daṇḍassa</b>.,All are fearful of a stick.
34841,dhammarasa,dhammaraso,DHP354,,sabbarasaṃ <b>dhammaraso</b> jināti,The flavour of the Dhamma surpasses all other flavours.
35128,dhāreti 3,dhārehi,MN133 (simpl),,"<b>dhārehi</b>, bhikkhu, uddesaṃ ca vibhaṅgaṃ ca","Remember, monk, the summary and the analysis."
32479,diṭṭhi 1,diṭṭhiyo,SN41.3,,"gahapati, pucchasi — ... <b>diṭṭhiyo</b> loke uppajjanti","You ask, householder: “...views arise in the world”"
24654,gahapati,gahapati,SN41.3,,"<b>gahapati</b>, pucchasi — ... diṭṭhiyo loke uppajjanti","You ask, householder: “...views arise in the world”"
28484,jināti 2,jināti,DHP354,,sabbarasaṃ dhammaraso <b>jināti</b>,The flavour of the Dhamma surpasses all other flavours.
28726,jotipāla 1,jotipālaṃ,DN19.7 (simpl),,rājā <b>jotipālaṃ</b> māṇavaṃ āmantayati,"The king addresses the young gentleman (brahmin), Protector of the Light (Jotipāla)."
20568,karohi,karohi,MN36,,"taṃ suṇāhi, sādhukaṃ manasi <b>karohi</b>, bhāsissāmi","Listen to that, pay attention, I will speak."
23612,khādati,khāda,VIN PAT PC 36,,handa bhikkhu <b>khāda</b> vā bhuñja vā,"Come on, bhikkhu, eat or consume!"
23186,kosalā,kosalehi,SN55.6 (simpl),,suṇāma: <b>kosalehi</b> mallesu pakkamati,We hear: (the Blessed One) sets out from the Kosalans (on tour) in the Mallans.
55630,labhati 1,labhāmi,MN48,,<b>labhāmi</b> paccattaṃ samathaṃ,I obtain serenity individually.
51536,mallā,mallesu,SN55.6 (simpl),,suṇāma: kosalehi <b>mallesu</b> pakkamati,We hear: (the Blessed One) sets out from the Kosalans (on tour) in the Mallans.
51112,manasi,manasi,MN36,,"taṃ suṇāhi, sādhukaṃ <b>manasi</b> karohi, bhāsissāmi","Listen to that, pay attention, I will speak."
51124,manasikaroti,manasi karohi,MN36,,"taṃ suṇāhi, sādhukaṃ <b>manasikarohi</b>, bhāsissāmi","Listen to that, pay attention, I will speak."
52158,māṇava 1,māṇavaṃ,DN19.7 (simpl),,rājā jotipālaṃ <b>māṇavaṃ</b> āmantayati,"The king addresses the young gentleman (brahmin), Protector of the Light (Jotipāla)."
37570,nibbāna 2,nibbānāya,SN56.11 (simpl),,paṭipadā upasamāya sambodhāya <b>nibbānāya</b> saṃvattati,"The path of practice is conducive for calmness, full awakening [and] total emancipation."
39322,paccattaṃ,paccattaṃ,MN48,,labhāmi <b>paccattaṃ</b> samathaṃ,I obtain serenity individually.
39683,pajahati,pajahatha,SN22.25 (simpl),,saṅkhāresu chandaṃ ca rāgaṃ <b>pajahatha</b>.,Abandon interest and desire for volitional formations.
39074,pakkamati 1,pakkamati,SN55.6 (simpl),,suṇāma: kosalehi mallesu <b>pakkamati</b>,We hear: (the Blessed One) sets out from the Kosalans (on tour) in the Mallans.
45663,pāpuṇāti 1,pāpuṇāti,MN64,,so tattha ṭhito āsavānaṃ khayaṃ <b>pāpuṇāti</b>.,"Remaining there, he reaches the destruction of the defilements."
43235,parikkhāra 1,parikkhāraṃ,MN2.4,,<b>parikkhāraṃ</b> paṭisevāmi,I make use of the requisite.
43711,paripūreti 1,paripūreti,MN39 (simpl),,so kāyaṃ vivekajena pītisukhena <b>paripūreti</b>,He completely fills up the body with joy and happiness produced by seclusion.
43974,pariyāya 05,pariyāyaṃ,SNP34,,passa lokassa <b>pariyāyaṃ</b>.,See the nature of the world.
44736,passa 2.1,passa,SNP34,,<b>passa</b> lokassa pariyāyaṃ.,See the nature of the world.
44772,passasi 1.1,passasi,VIN,,<b>passasi</b> taṃ āpattiṃ,You see that offence.
44738,passati 1,passatha,MN104 (simpl),,"<b>passatha</b>, ānanda, vacanassa pathaṃ","You see, Ānanda, a course of speech"
41989,patha 2,pathaṃ,MN104 (simpl),,"passatha, ānanda, vacanassa <b>pathaṃ</b>","You see, Ānanda, a course of speech"
40689,paṭibhāti,paṭibhātu,SN22.1 (simpl),yes,sādhu āyasmantaṃ sāriputtaṃ <b>paṭibhātu</b> etassa bhāsitassa attho,It would be good if the meaning of this statement may become evident to Venerable Sāriputta. (so that he could explain it to us); Fig: It would be good if Ven. Sāriputta would explain the meaning of this statement.
40314,paṭiggaṇhāti 1,paṭiggaṇhātu,VIN PAT NP 10,,<b>paṭiggaṇhātu</b> āyasmā cīvaracetāpannaṃ,Let the venerable receive the robe-fund.
40774,paṭilabhati 1,paṭilabhati,MN27,,tathāgate saddhaṃ <b>paṭilabhati</b>,He obtains faith in the Tathāgata.
45428,pātimokkha 2,pātimokkhe,MN107 (simpl),,<b>pātimokkhe</b> saṃvarena viharāhi,Dwell with restraint according to the disciplinary code!
