id,pali,selected_pali_word,class_source,extra,class_example,english_translation
3281,adhimatta,adhimattaṃ,AN10.51,,"seyyathā'pi, bhikkhave, ādittacelo vā ādittasīso vā, tass'eva celassa vā sīsassa vā nibbāpanāya <b>adhimattaṃ</b> chandañ'ca vāyāmañ'ca ussāhañ'ca ussoḷhiñ'ca appaṭivāniñ'ca satiñ'ca sampajaññañ'ca kareyya.","Imagine if, monks, someone's clothes or head was on fire. He would (set) extreme intention and (make) effort and exertion and tireless determination and (have) mindfulness and clear attention for putting out that exact clothes or head."
6863,appaṭivānī,,AN10.51,,"seyyathā'pi, bhikkhave, ādittacelo vā ādittasīso vā, tass'eva celassa vā sīsassa vā nibbāpanāya adhimattaṃ chandañ'ca vāyāmañ'ca ussāhañ'ca ussoḷhiñ'ca <b>appaṭivāniñ</b>'ca satiñ'ca sampajaññañ'ca kareyya.","Imagine if, monks, someone's clothes or head was on fire. He would (set) extreme intention and (make) effort and exertion and tireless determination and (have) mindfulness and clear attention for putting out that exact clothes or head."
37615,nibbāpana 1,nibbāpanāya,AN10.51,,"seyyathā'pi, bhikkhave, ādittacelo vā ādittasīso vā, tass'eva celassa vā sīsassa vā <b>nibbāpanāya</b> adhimattaṃ chandañ'ca vāyāmañ'ca ussāhañ'ca ussoḷhiñ'ca appaṭivāniñ'ca satiñ'ca sampajaññañ'ca kareyya.","Imagine if, monks, someone's clothes or head was on fire. He would (set) extreme intention and (make) effort and exertion and tireless determination and (have) mindfulness and clear attention for putting out that exact clothes or head."
30196,tasseva 2,tass'eva,AN10.51,,"seyyathā'pi, bhikkhave, ādittacelo vā ādittasīso vā, <b>tass'eva</b> celassa vā sīsassa vā nibbāpanāya adhimattaṃ chandañ'ca vāyāmañ'ca ussāhañ'ca ussoḷhiñ'ca appaṭivāniñ'ca satiñ'ca sampajaññañ'ca kareyya.","Imagine if, monks, someone's clothes or head was on fire. He would (set) extreme intention and (make) effort and exertion and tireless determination and (have) mindfulness and clear attention for putting out that exact clothes or head."
17195,ussāha,,AN10.51,,"seyyathā'pi, bhikkhave, ādittacelo vā ādittasīso vā, tass'eva celassa vā sīsassa vā nibbāpanāya adhimattaṃ chandañ'ca vāyāmañ'ca <b>ussāhañ</b>'ca ussoḷhiñ'ca appaṭivāniñ'ca satiñ'ca sampajaññañ'ca kareyya.","Imagine if, monks, someone's clothes or head was on fire. He would (set) extreme intention and (make) effort and exertion and tireless determination and (have) mindfulness and clear attention for putting out that exact clothes or head."
17237,ussoḷhi,,AN10.51,,"seyyathā'pi, bhikkhave, ādittacelo vā ādittasīso vā, tass'eva celassa vā sīsassa vā nibbāpanāya adhimattaṃ chandañ'ca vāyāmañ'ca ussāhañ'ca <b>ussoḷhiñ</b>'ca appaṭivāniñ'ca satiñ'ca sampajaññañ'ca kareyya.","Imagine if, monks, someone's clothes or head was on fire. He would (set) extreme intention and (make) effort and exertion and tireless determination and (have) mindfulness and clear attention for putting out that exact clothes or head."
9416,asaddhammassavana,asaddhammassavanan,AN10.61,yes,ko c'āhāro assaddhiyassa. <b>asaddhammassavanan</b>'ti'ssa vacanīyaṃ,"What is the fuel for lack of belief? It should be said of this, “not listening to the true teaching.”"
9964,assaddhiya,assaddhiyassa,AN10.61,yes,ko c'āhāro <b>assaddhiyassa</b>. asaddhammassavanan'ti'ssa vacanīyaṃ,"What is the fuel for lack of belief? It should be said of this, “not listening to the true teaching.”"
8798,ayoniso,,AN10.61,yes,"ko c'āhāro <b>ayoniso</b>manasikārassa. assaddhiyan'ti'ssa vacanīyaṃ. assaddhiyam'p'āhaṃ, bhikkhave, sāhāraṃ vadāmi, no anāhāraṃ. ko c'āhāro assaddhiyassa. asaddhammassavanan'ti'ssa vacanīyaṃ","And what is the fuel for improper attention? It should be said of this, “lack of belief.” And monks, lack of belief has a fuel, it is not fuel-less. What is the fuel for lack of belief? It should be said of this, “not listening to the true teaching.”"
8800,ayonisomanasikāra,ayonisomanasikārassa,AN10.61,yes,"ko c'āhāro <b>ayonisomanasikārassa</b>. assaddhiyan'ti'ssa vacanīyaṃ. assaddhiyam'p'āhaṃ, bhikkhave, sāhāraṃ vadāmi, no anāhāraṃ. ko c'āhāro assaddhiyassa. asaddhammassavanan'ti'ssa vacanīyaṃ","And what is the fuel for improper attention? It should be said of this, “lack of belief.” And monks, lack of belief has a fuel, it is not fuel-less. What is the fuel for lack of belief? It should be said of this, “not listening to the true teaching.”"
18279,okāsa 2,okāso,AN3.101,,"yo, bhikkhave, evaṃ vadeyya, yathā yath'āyaṃ puriso kammaṃ karoti tathā tathā taṃ paṭisaṃvediyatī'ti, evaṃ santaṃ, bhikkhave, brahmacariyavāso na hoti, <b>okāso</b> na paññāyati sammā dukkhassa antakiriyāya.","Whoever monks, would say thus, “In whatever way a person performs a deed, in exactly that way he experiences that (result)."" This being the case, monks, there is no living the holy life, no opportunity is evident for the complete ending of suffering."
40895,paṭisaṃvediyati,paṭisaṃvediyatī,AN3.101,,"yo, bhikkhave, evaṃ vadeyya, yathā yath'āyaṃ puriso kammaṃ karoti tathā tathā taṃ <b>paṭisaṃvediyatī</b>'ti, evaṃ santaṃ, bhikkhave, brahmacariyavāso na hoti, okāso na paññāyati sammā dukkhassa antakiriyāya.","Whoever monks, would say thus, “In whatever way a person performs a deed, in exactly that way he experiences that (result)."" This being the case, monks, there is no living the holy life, no opportunity is evident for the complete ending of suffering."
53667,yathāyaṃ,,AN3.101,,"yo, bhikkhave, evaṃ vadeyya, yathā <b>yath'āyaṃ</b> puriso kammaṃ karoti tathā tathā taṃ paṭisaṃvediyatī'ti, evaṃ santaṃ, bhikkhave, brahmacariyavāso na hoti, okāso na paññāyati sammā dukkhassa antakiriyāya.","Whoever monks, would say thus, “In whatever way a person performs a deed, in exactly that way he experiences that (result)."" This being the case, monks, there is no living the holy life, no opportunity is evident for the complete ending of suffering."
8011,abhibhuyya,abhibhuyya,AN3.91,,"yathā divā tathā rattiṃ, yathā rattiṃ tathā divā, <b>abhibhuyya</b> disā sabbā, appamāṇasamādhinā.","As by day, so by night, as by night, so by day. Overcoming all directions with a boundless stable mind."
6974,appamāṇasamādhi,appamāṇasamādhinā,AN3.91,,"yathā divā tathā rattiṃ, yathā rattiṃ tathā divā, abhibhuyya disā sabbā, <b>appamāṇasamādhinā</b>.","As by day, so by night, as by night, so by day. Overcoming all directions with a boundless stable mind."
21372,kārī 2,,AN6.103,,"nibbāne ca santadassāvī bhavissāmi, anusayā ca me samugghātaṃ gacchissanti, kicca<b>kārī</b> ca bhavissāmi, satthā ca me pariciṇṇo bhavissati mettāvatāyā'ti.","“I will be one who has seen peacefulness in extinguishment, my underlying tendencies will be(come) exterminated (there will be extermination of my underlying tendencies), I will be one who has done his duty, and my teacher will (have) be(en) served with goodwill.”"
21615,kicca 2,,AN6.103,,"nibbāne ca santadassāvī bhavissāmi, anusayā ca me samugghātaṃ gacchissanti, <b>kicca</b>kārī ca bhavissāmi, satthā ca me pariciṇṇo bhavissati mettāvatāyā'ti.","“I will be one who has seen peacefulness in extinguishment, my underlying tendencies will be(come) exterminated (there will be extermination of my underlying tendencies), I will be one who has done his duty, and my teacher will (have) be(en) served with goodwill.”"
