id,pali,selected_pali_word,class_source,extra,class_example,english_translation
,,,,,,
9140,alajjitāya,alajjitāye,DHP316,,"<b>alajjitāye</b> lajjanti, lajjitāye na lajjare, micchādiṭṭhisamādānā, sattā gacchanti duggatiṃ.","They [who] are ashamed of [what] they should not be ashamed, [and] do not embarrass themselves about what they should – undertaking wrong views – living beings go to a bad destination."
33035,duggati,duggatiṃ,DHP316,,"alajjitāye lajjanti, lajjitāye na lajjare, micchādiṭṭhisamādānā, sattā gacchanti <b>duggatiṃ</b>.","They [who] are ashamed of [what] they should not be ashamed, [and] do not embarrass themselves about what they should – undertaking wrong views – living beings go to a bad destination."
55531,lajjati 1,lajjanti,DHP316,,"alajjitāye <b>lajjanti</b>, lajjitāye na <b>lajjare</b>, micchādiṭṭhisamādānā, sattā gacchanti duggatiṃ.","They [who] are ashamed of [what] they should not be ashamed, [and] do not embarrass themselves about what they should – undertaking wrong views – living beings go to a bad destination."
55547,lajjitāya,lajjitāye,DHP316,,"alajjitāye lajjanti, <b>lajjitāye</b> na lajjare, micchādiṭṭhisamādānā, sattā gacchanti duggatiṃ.","They [who] are ashamed of [what] they should not be ashamed, [and] do not embarrass themselves about what they should – undertaking wrong views – living beings go to a bad destination."
52591,micchādiṭṭhi 1,,DHP316,,"alajjitāye lajjanti, lajjitāye na lajjare, <b>micchādiṭṭhi</b>samādānā, sattā gacchanti duggatiṃ.","They [who] are ashamed of [what] they should not be ashamed, [and] do not embarrass themselves about what they should – undertaking wrong views – living beings go to a bad destination."
52603,micchādiṭṭhisamādāna,micchādiṭṭhisamādānā,DHP316,,"alajjitāye lajjanti, lajjitāye na lajjare, <b>micchādiṭṭhisamādānā</b>, sattā gacchanti duggatiṃ.","They [who] are ashamed of [what] they should not be ashamed, [and] do not embarrass themselves about what they should – undertaking wrong views – living beings go to a bad destination."
6661,api 1.5,,DN9.7,,"oḷārikassa'<b>pi</b> kho ahaṃ, poṭṭhapāda, attapaṭilābhassa pahānāya dhammaṃ desemi, yathāpaṭipannānaṃ vo saṃkilesikā dhammā pahīyissanti, vodāniyā dhammā abhivaḍḍhissanti","But I teach, Poṭṭhapāda, the doctrine for the giving up of the acquisition of the gross self, for those who practice accordingly, surely the defiling mental states will be abandoned and mental states to be purified will increase more and more."
10832,aha 1.1,ahaṃ,DN9.7,,"oḷārikassa'pi kho <b>ahaṃ</b>, poṭṭhapāda, attapaṭilābhassa pahānāya dhammaṃ desemi, yathāpaṭipannānaṃ vo saṃkilesikā dhammā pahīyissanti, vodāniyā dhammā abhivaḍḍhissanti","But I teach, Poṭṭhapāda, the doctrine for the giving up of the acquisition of the gross self, for those who practice accordingly, surely the defiling mental states will be abandoned and mental states to be purified will increase more and more."
2507,attapaṭilābha,attapaṭilābhassa,DN9.7,,"oḷārikassa'pi kho ahaṃ, poṭṭhapāda, <b>attapaṭilābhassa</b> pahānāya dhammaṃ desemi, yathāpaṭipannānaṃ vo saṃkilesikā dhammā pahīyissanti, vodāniyā dhammā abhivaḍḍhissanti","But I teach, Poṭṭhapāda, the doctrine for the giving up of the acquisition of the gross self, for those who practice accordingly, surely the defiling mental states will be abandoned and mental states to be purified will increase more and more."
