id,pali,selected_pali_word,class_source,extra,class_example,english_translation,class
76068,ābādha 2,ābādhāya,SN22.59,yes,saṅkhārā <b>ābādhāya</b>,Volitional formations [are conducive for] disease,
74544,adhigama 2,adhigamāya,DN22.1 (simpl),,"maggo hoti sokaparidevānaṃ samatikkamāya, ñāyassa <b>adhigamāya</b>, nibbānassa sacchikiriyāya.","It is the path for the overcoming of sorrow and lamentation, for the attainment of the (right) method, for personal experience of total emancipation.",
11040,ākāsa 1.2,ākāsena,Class Doc,,thero <b>ākāsena</b> gāmaṃ gacchati,The elder goes to the village by air,
9175,alamariya,alam'ariyo,AN10.48,,uttarissa manussassa dhammo <b>alam'ariyo</b> ñāṇadassanassa viseso,"the state of a superior human being, the attainment of knowing and seeing, suitable for a noble person,",
9177,alamariyañāṇadassanavisesa,alam'ariyo ñāṇadassanassa viseso,AN10.48,,uttarissa manussassa dhammo <b>alam'ariyo ñāṇadassanassa viseso</b>,"the state of a superior human being, the attainment of knowing and seeing, suitable for a noble person,",
4036,anālaya 1,anālayo,SN56.11,,cāgo paṭinissaggo <b>anālayo</b>,"The relinquishing, the abandonment, the non-attachment",
4524,anuttara,anuttaro,SN55.7,,itipi so bhagavā arahaṃ sammāsambuddho vijjācaraṇasampanno sugato lokavidū <b>anuttaro</b> purisadammasārathi satthā devamanussānaṃ buddho bhagavā'ti,"It is so (thus) “He [is] the Blessed One, the Worthy One, the fully Enlightened One, endowed with wisdom and ethical conduct, Fortunate One, knower of the world, incomparable leader of persons to be tamed, teacher of gods and humans, the Awakened One, the Blessed One.”",
6258,apara 1,aparena,MN39,,<b>aparena</b> samayena buddho,"on another occasion, the Awakened One",
6463,aparena samayena 1,aparena samayena,MN39,,<b>aparena samayena</b> buddho,"on another occasion, the Awakened One",
8943,arahaṃ,arahato,DN21.8,,namo tassa bhagavato <b>arahato</b> sammā-sambuddhassa,"Homage to him, the Blessed One, the Worthy One, the fully Enlightened One.",
9869,asesa,,SN12.1,yes,"avijjāya tv'eva <b>asesa</b>-virāga-nirodhā saṅkhāra-nirodho, saṅkhāra-nirodhā viññāṇa-nirodho, viññāṇa-nirodhā nāmarūpa-nirodho, nāmarūpa-nirodhā saḷāyatana-nirodho, saḷāyatana-nirodhā phassa-nirodho, phassa-nirodhā vedanā-nirodho, vedanā-nirodhā taṇhā-nirodho, taṇhā-nirodhā upādāna-nirodho, upādāna-nirodhā bhava-nirodho, bhava-nirodhā jāti-nirodho, jāti-nirodhā jarā-maraṇaṃ soka-parideva-dukkha-domanass'upāyāsā nirujjhanti.","But from the complete fading away and cessation of ignorance there is cessation of volitional formations; from the cessation of volitional formations, cessation of consciousness; from the cessation of consciousness, cessation of name-and-form; from the cessation of name-and-form, cessation of the six sense bases; from the cessation of the six sense bases, cessation of contact; from the cessation of contact, cessation of feeling; from the cessation of feeling, cessation of craving; from the cessation of craving, cessation of clinging; from the cessation of clinging, cessation of existence; from the cessation of existence, cessation of birth; from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.",
2603,attha 2.1,atthamhi,DHP 331,,<b>atthamhi</b> sahāyā,[Good are] friends in [arisen] need,
13049,āvāsa 1,āvāse,VIN 1.1.4,,<b>āvāse</b> vassaṃ,(entered) the rainy season at the dwelling place.,
10520,avijjā,avijjāya,SN12.1,yes,"<b>avijjāya</b> tv'eva asesa-virāga-nirodhā saṅkhāra-nirodho, saṅkhāra-nirodhā viññāṇa-nirodho, viññāṇa-nirodhā nāmarūpa-nirodho, nāmarūpa-nirodhā saḷāyatana-nirodho, saḷāyatana-nirodhā phassa-nirodho, phassa-nirodhā vedanā-nirodho, vedanā-nirodhā taṇhā-nirodho, taṇhā-nirodhā upādāna-nirodho, upādāna-nirodhā bhava-nirodho, bhava-nirodhā jāti-nirodho, jāti-nirodhā jarā-maraṇaṃ soka-parideva-dukkha-domanass'upāyāsā nirujjhanti.","But from the complete fading away and cessation of ignorance there is cessation of volitional formations; from the cessation of volitional formations, cessation of consciousness; from the cessation of consciousness, cessation of name-and-form; from the cessation of name-and-form, cessation of the six sense bases; from the cessation of the six sense bases, cessation of contact; from the cessation of contact, cessation of feeling; from the cessation of feeling, cessation of craving; from the cessation of craving, cessation of clinging; from the cessation of clinging, cessation of existence; from the cessation of existence, cessation of birth; from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.",
48273,bāla 2,bālassa,TH251,,<b>bālassa</b> mohāya,for the delusion of the fool,
49147,bhagavā,bhagavā,SN55.7,,itipi so <b>bhagavā</b> arahaṃ sammāsambuddho vijjācaraṇasampanno sugato lokavidū anuttaro purisadammasārathi satthā devamanussānaṃ buddho bhagavā'ti,"It is so (thus) “He [is] the Blessed One, the Worthy One, the fully Enlightened One, endowed with wisdom and ethical conduct, Fortunate One, knower of the world, incomparable leader of persons to be tamed, teacher of gods and humans, the Awakened One, the Blessed One.”",
49136,bhagavato 1,bhagavato,DN21.8,,namo tassa <b>bhagavato</b> arahato sammā-sambuddhassa,"Homage to him, the Blessed One, the Worthy One, the fully Enlightened One.",
49519,bhava 2,,SN12.1,yes,"avijjāya tv'eva asesa-virāga-nirodhā saṅkhāra-nirodho, saṅkhāra-nirodhā viññāṇa-nirodho, viññāṇa-nirodhā nāmarūpa-nirodho, nāmarūpa-nirodhā saḷāyatana-nirodho, saḷāyatana-nirodhā phassa-nirodho, phassa-nirodhā vedanā-nirodho, vedanā-nirodhā taṇhā-nirodho, taṇhā-nirodhā upādāna-nirodho, upādāna-nirodhā <b>bhava</b>-nirodho, <b>bhava</b>-nirodhā jāti-nirodho, jāti-nirodhā jarā-maraṇaṃ soka-parideva-dukkha-domanass'upāyāsā nirujjhanti.","But from the complete fading away and cessation of ignorance there is cessation of volitional formations; from the cessation of volitional formations, cessation of consciousness; from the cessation of consciousness, cessation of name-and-form; from the cessation of name-and-form, cessation of the six sense bases; from the cessation of the six sense bases, cessation of contact; from the cessation of contact, cessation of feeling; from the cessation of feeling, cessation of craving; from the cessation of craving, cessation of clinging; from the cessation of clinging, cessation of existence; from the cessation of existence, cessation of birth; from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.",
78718,bheda 1,bhedo,-,,khandhānaṃ <b>bhedo</b>,the break-up of the aggregates,
50270,bheda 2,bhedā,VIN1.1.3,,kāyassa <b>bhedā</b>,From the death of the body,
49033,brāhmaṇa 1,brāhmaṇo,-,,samaṇena vā <b>brāhmaṇena</b> vā devena vā mārena vā,with either a recluse or a brahmin or a deity or Mara,
49035,brāhmaṇa 3,brāhmaṇo,MN99,,nīvaraṇehi <b>brāhmaṇo</b>,The holy man [is filled] with the [five] hindrances,
48511,buddha 1,buddho,SN10.8,,<b>buddho</b> kira loke uppanno,A Buddha has indeed arisen in the world.,
26368,cāga 1,cāgo,SN56.11,,<b>cāgo</b> paṭinissaggo anālayo,"The relinquishing, the abandonment, the non-attachment",
26276,carati 1.1,carati,Class Doc,,thero <b>carati</b>. ,The elder walks.,
26826,cīvara 1,cīvaraṃ,VIN 1.4.1.2,,gabbhe <b>cīvaraṃ</b>,the robe in the room,
31866,danta 1.1,dantā,DN22.5,,atthi imasmiṃ kāye kesā lomā nakhā <b>dantā</b> taco,"There are in this body, hair [on the head], hairs of the body, nails, teeth, skin.",
33953,deti 1,deti,Class Doc,,thero sāvakāya cīvaraṃ <b>deti</b>.,The elder gives a robe to the disciple.,
34018,deva 1,devena,SN56.11,,samaṇena vā brāhmaṇena vā <b>devena</b> vā mārena vā,with either a recluse or a brahmin or a deity or Mara,
34108,devamanussā,devamanussānaṃ,SN55.7,,itipi so bhagavā arahaṃ sammāsambuddho vijjācaraṇasampanno sugato lokavidū anuttaro purisadammasārathi satthā <b>devamanussānaṃ</b> buddho bhagavā'ti,"It is so (thus) “He [is] the Blessed One, the Worthy One, the fully Enlightened One, endowed with wisdom and ethical conduct, Fortunate One, knower of the world, incomparable leader of persons to be tamed, teacher of gods and humans, the Awakened One, the Blessed One.”",
34627,dhamma 1.02,dhammā,AN8.79,,<b>dhammā</b> sekhassa,qualities of a trainee,
34628,dhamma 1.03,dhammā,-,,<b>dhammo</b> vinayo,The Doctrine the Discipline,
34630,dhamma 1.05,dhammā,AN10.48,,uttarissa manussassa <b>dhammo</b> alam'ariyo ñāṇadassanassa viseso,"the state of a superior human being, the attainment of knowing and seeing, suitable for a noble person,",
34195,domanassa,domanassehi,SN35.28,,sokehi paridevehi dukkhehi <b>domanassehi</b> upāyāsehi,"(burning) with griefs, lamentations, sufferings, distresses, afflictions",
32877,dukkha 3,dukkhehi,SN35.28,,sokehi paridevehi <b>dukkhehi</b> domanassehi upāyāsehi,"(burning) with griefs, lamentations, sufferings, distresses, afflictions",
18216,ehi,ehi,Class Doc,,<b>ehi </b>upāsaka! ,"O, lay devotee, come here!",
24384,gabbha 3,gabbhe,VIN 1.4.1.2,,<b>gabbhe</b> cīvaraṃ,the robe in the room,
24043,gacchati 1,gacchati,Class Doc,,thero ākāsena gāmaṃ <b>gacchati</b>.,The elder goes to the village by air. ,
24742,gāma 1,gāme,Class Doc,,sīho <b>gāme</b> carati.,The lion walks in the village.,
25265,gotama 1,gotamo,AN10.29,,samaṇo <b>gotamo</b>,The recluse Gotama,
70807,hattha 1,hatthena,VIN PAT SE 55 (simpl),,na sāmisena <b>hatthena</b> pānīyassa thālakaṃ paṭiggahessāmi iti sikkhā karaṇīyā,I will not take a cup for drinking water with a soiled hand.,
13479,itipi,itipi,SN55.7,,<b>itipi</b> so bhagavā arahaṃ sammāsambuddho vijjācaraṇasampanno sugato lokavidū anuttaro purisadammasārathi satthā devamanussānaṃ buddho bhagavā'ti,"It is so (thus) “He [is] the Blessed One, the Worthy One, the fully Enlightened One, endowed with wisdom and ethical conduct, Fortunate One, knower of the world, incomparable leader of persons to be tamed, teacher of gods and humans, the Awakened One, the Blessed One.”",
28027,jarā,jarā,SN12.1,yes,"avijjāya tv'eva asesa-virāga-nirodhā saṅkhāra-nirodho, saṅkhāra-nirodhā viññāṇa-nirodho, viññāṇa-nirodhā nāmarūpa-nirodho, nāmarūpa-nirodhā saḷāyatana-nirodho, saḷāyatana-nirodhā phassa-nirodho, phassa-nirodhā vedanā-nirodho, vedanā-nirodhā taṇhā-nirodho, taṇhā-nirodhā upādāna-nirodho, upādāna-nirodhā bhava-nirodho, bhava-nirodhā jāti-nirodho, jāti-nirodhā <b>jarā</b>-maraṇaṃ soka-parideva-dukkha-domanass'upāyāsā nirujjhanti.","But from the complete fading away and cessation of ignorance there is cessation of volitional formations; from the cessation of volitional formations, cessation of consciousness; from the cessation of consciousness, cessation of name-and-form; from the cessation of name-and-form, cessation of the six sense bases; from the cessation of the six sense bases, cessation of contact; from the cessation of contact, cessation of feeling; from the cessation of feeling, cessation of craving; from the cessation of craving, cessation of clinging; from the cessation of clinging, cessation of existence; from the cessation of existence, cessation of birth; from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.",
28209,jāti 1,,SN12.1,yes,"avijjāya tv'eva asesa-virāga-nirodhā saṅkhāra-nirodho, saṅkhāra-nirodhā viññāṇa-nirodho, viññāṇa-nirodhā nāmarūpa-nirodho, nāmarūpa-nirodhā saḷāyatana-nirodho, saḷāyatana-nirodhā phassa-nirodho, phassa-nirodhā vedanā-nirodho, vedanā-nirodhā taṇhā-nirodho, taṇhā-nirodhā upādāna-nirodho, upādāna-nirodhā bhava-nirodho, bhava-nirodhā <b>jāti</b>-nirodho, <b>jāti</b>-nirodhā jarā-maraṇaṃ soka-parideva-dukkha-domanass'upāyāsā nirujjhanti.","But from the complete fading away and cessation of ignorance there is cessation of volitional formations; from the cessation of volitional formations, cessation of consciousness; from the cessation of consciousness, cessation of name-and-form; from the cessation of name-and-form, cessation of the six sense bases; from the cessation of the six sense bases, cessation of contact; from the cessation of contact, cessation of feeling; from the cessation of feeling, cessation of craving; from the cessation of craving, cessation of clinging; from the cessation of clinging, cessation of existence; from the cessation of existence, cessation of birth; from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.",
20959,kāma 3,kāmehi,TH251,,<b>kāmehi</b> lokamhi,[there is no satisfaction] by sensual pleasures in the world,
20558,karoti 1,kareyya,VIN PAT NID,,"saṅgho uposathaṃ <b>kareyya</b>, pātimokkhaṃ uddiseyya",The community of monks could make ANobservance day [and] would recite the training rules.,
20798,kassapa 1,kassapassa,SN19.21,,<b>kassapassa</b> vinayasmiṃ,in the discipline of the Kassapa,
21131,kāya 1.1,kāye,DN22.5,,atthi imasmiṃ <b>kāye</b> kesā lomā nakhā dantā taco,"There are in this body, hair [on the head], hairs of the body, nails, teeth, skin.",
22853,kesa 1,kesā,DN22.5,,atthi imasmiṃ kāye <b>kesā</b> lomā nakhā dantā taco,"There are in this body, hair [on the head], hairs of the body, nails, teeth, skin.",
23439,khandha 3,khandhānaṃ,VIBH 6.1,,<b>khandhānaṃ</b> bhedo,the break-up of the aggregates,
21807,kira 1,kira,SN10.8,,buddho <b>kira</b> loke uppanno,A Buddha has indeed arisen in the world.,
55972,loka 1,loke,SN10.8,,buddho kira <b>loke</b> uppanno,A Buddha has indeed arisen in the world.,
56030,lokavidū,lokavidū,SN55.7,,itipi so bhagavā arahaṃ sammāsambuddho vijjācaraṇasampanno sugato <b>lokavidū</b> anuttaro purisadammasārathi satthā devamanussānaṃ buddho bhagavā'ti,"It is so (thus) “He [is] the Blessed One, the Worthy One, the fully Enlightened One, endowed with wisdom and ethical conduct, Fortunate One, knower of the world, incomparable leader of persons to be tamed, teacher of gods and humans, the Awakened One, the Blessed One.”",
56117,loma 1,lomā,DN22.5,,atthi imasmiṃ kāye kesā <b>lomā</b> nakhā dantā taco,"There are in this body, hair [on the head], hairs of the body, nails, teeth, skin.",
51177,manussa,manussānaṃ,SN55.7,,itipi so bhagavā arahaṃ sammāsambuddho vijjācaraṇasampanno sugato lokavidū anuttaro purisadammasārathi satthā deva<b>manussānaṃ</b> buddho bhagavā'ti,"It is so (thus) “He [is] the Blessed One, the Worthy One, the fully Enlightened One, endowed with wisdom and ethical conduct, Fortunate One, knower of the world, incomparable leader of persons to be tamed, teacher of gods and humans, the Awakened One, the Blessed One.”",
51202,manussadhamma 1,manussadhammo,AN10.48,,uttarissa <b>manussadhammo</b> alam'ariyo ñāṇadassanassa viseso,"the state of a superior human being, the attainment of knowing and seeing, suitable for a noble person,",
52373,māra,mārena,SN56.11,,samaṇena vā brāhmaṇena vā devena vā <b>mārena</b> vā,with either a recluse or a brahmin or a deity or Mara,
51445,maraṇa,maraṇaṃ,SN12.1,yes,"avijjāya tv'eva asesa-virāga-nirodhā saṅkhāra-nirodho, saṅkhāra-nirodhā viññāṇa-nirodho, viññāṇa-nirodhā nāmarūpa-nirodho, nāmarūpa-nirodhā saḷāyatana-nirodho, saḷāyatana-nirodhā phassa-nirodho, phassa-nirodhā vedanā-nirodho, vedanā-nirodhā taṇhā-nirodho, taṇhā-nirodhā upādāna-nirodho, upādāna-nirodhā bhava-nirodho, bhava-nirodhā jāti-nirodho, jāti-nirodhā jarā-<b>maraṇaṃ</b> soka-parideva-dukkha-domanass'upāyāsā nirujjhanti.","But from the complete fading away and cessation of ignorance there is cessation of volitional formations; from the cessation of volitional formations, cessation of consciousness; from the cessation of consciousness, cessation of name-and-form; from the cessation of name-and-form, cessation of the six sense bases; from the cessation of the six sense bases, cessation of contact; from the cessation of contact, cessation of feeling; from the cessation of feeling, cessation of craving; from the cessation of craving, cessation of clinging; from the cessation of clinging, cessation of existence; from the cessation of existence, cessation of birth; from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.",
53383,moha 1,mohāya,TH251,,bālassa <b>mohāya</b>,for the delusion of the fool,
53089,mūla 1,mūlesu,TH257 (simpl),,"araññe rukkhānaṃ <b>mūlesu</b>, kandarāsu guhāsu ca","At the foot of a tree in a forest, in valleys, and in caves.",
35388,nakha 1,nakhā,DN22.5,,atthi imasmiṃ kāye kesā lomā <b>nakhā</b> dantā taco,"There are in this body, hair [on the head], hairs of the body, nails, teeth, skin.",
36456,nāmarūpa 1,,SN12.1,yes,"avijjāya tv'eva asesa-virāga-nirodhā saṅkhāra-nirodho, saṅkhāra-nirodhā viññāṇa-nirodho, viññāṇa-nirodhā <b>nāmarūpa</b>-nirodho, <b>nāmarūpa</b>-nirodhā saḷāyatana-nirodho, saḷāyatana-nirodhā phassa-nirodho, phassa-nirodhā vedanā-nirodho, vedanā-nirodhā taṇhā-nirodho, taṇhā-nirodhā upādāna-nirodho, upādāna-nirodhā bhava-nirodho, bhava-nirodhā jāti-nirodho, jāti-nirodhā jarā-maraṇaṃ soka-parideva-dukkha-domanass'upāyāsā nirujjhanti.","But from the complete fading away and cessation of ignorance there is cessation of volitional formations; from the cessation of volitional formations, cessation of consciousness; from the cessation of consciousness, cessation of name-and-form; from the cessation of name-and-form, cessation of the six sense bases; from the cessation of the six sense bases, cessation of contact; from the cessation of contact, cessation of feeling; from the cessation of feeling, cessation of craving; from the cessation of craving, cessation of clinging; from the cessation of clinging, cessation of existence; from the cessation of existence, cessation of birth; from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.",
35805,namo,namo,DN21.8,,<b>namo</b> tassa bhagavato arahato sammā-sambuddhassa,"Homage to him, the Blessed One, the Worthy One, the fully Enlightened One.",
28861,ñāṇadassana,ñāṇadassanassa,AN10.48,,uttarissa manussassa dhammo alam'ariyo <b>ñāṇadassanassa</b> viseso,"the state of a superior human being, the attainment of knowing and seeing, suitable for a noble person,",
