id,pali,selected_pali_word,class_source,extra,class_example,english_translation
66688,vācasika 2,vācasikaṃ,AN10.44,,"tassa bhavanti vattāro, iṅgha tāva āyasmā <b>vācasikaṃ</b> sikkhassū'ti, iti'ssa bhavanti vattāro.","There are those who (will) say to him, “Come on, Venerable, at least you must train yourself in verbal conduct.”"
70516,vevaṇṇiya 1,vevaṇṇiy'amhi,AN10.48,,"<b>vevaṇṇiy</b>'amhi ajjhupagato'ti, pabbajitena abhiṇhaṃ paccavekkhitabbaṃ","“I have come to a change of social order”, should be frequently reflected on by a renunciant."
1377,ajjhupagata 1,ajjhupagato,AN10.48,,"vevaṇṇiy'amhi <b>ajjhupagato</b>'ti, pabbajitena abhiṇhaṃ paccavekkhitabbaṃ","“I have come to a change of social order”, should be frequently reflected on by a renunciant."
28968,ñū 2,,AN6.17,yes,"indriyesu guttadvārā bhavissāma, bhojane matta<b>ññuno</b>, jāgariyaṃ anuyuttā, vipassakā kusalānaṃ dhammānaṃ, pubbaratt'āpararattaṃ bodhipakkhiyānaṃ dhammānaṃ, bhāvanā'nuyogam'anuyuttā viharissāmā'ti.","“We will be guarded regarding the sense faculties, knowing the correct measure in regard to food, devoted to wakefulness, [and] having clear insight of wholesome qualities, we will dwell devoting ourselves to mental cultivation, developing day and night the aids leading to enlightenment.”"
28160,jāgariya,jāgariyaṃ,AN6.17,yes,"indriyesu guttadvārā bhavissāma, bhojane mattaññuno, <b>jāgariyaṃ</b> anuyuttā, vipassakā kusalānaṃ dhammānaṃ, pubbaratt'āpararattaṃ bodhipakkhiyānaṃ dhammānaṃ, bhāvanā'nuyogam'anuyuttā viharissāmā'ti.","“We will be guarded regarding the sense faculties, knowing the correct measure in regard to food, devoted to wakefulness, [and] having clear insight of wholesome qualities, we will dwell devoting ourselves to mental cultivation, developing day and night the aids leading to enlightenment.”"
68375,vipassaka,vipassakā,AN6.17,yes,"indriyesu guttadvārā bhavissāma, bhojane mattaññuno, jāgariyaṃ anuyuttā, <b>vipassakā</b> kusalānaṃ dhammānaṃ, pubbaratt'āpararattaṃ bodhipakkhiyānaṃ dhammānaṃ, bhāvanā'nuyogam'anuyuttā viharissāmā'ti.","“We will be guarded regarding the sense faculties, knowing the correct measure in regard to food, devoted to wakefulness, [and] having clear insight of wholesome qualities, we will dwell devoting ourselves to mental cultivation, developing day and night the aids leading to enlightenment.”"
71824,pubbaratta,,AN6.17,yes,"indriyesu guttadvārā bhavissāma, bhojane mattaññuno, jāgariyaṃ anuyuttā, vipassakā kusalānaṃ dhammānaṃ, <b>pubbaratt</b>'āpararattaṃ bodhipakkhiyānaṃ dhammānaṃ, bhāvanā'nuyogam'anuyuttā viharissāmā'ti.","“We will be guarded regarding the sense faculties, knowing the correct measure in regard to food, devoted to wakefulness, [and] having clear insight of wholesome qualities, we will dwell devoting ourselves to mental cultivation, developing day and night the aids leading to enlightenment.”"
46891,pubbarattāpararattaṃ,pubbaratt'āpararattaṃ,AN6.17,yes,"indriyesu guttadvārā bhavissāma, bhojane mattaññuno, jāgariyaṃ anuyuttā, vipassakā kusalānaṃ dhammānaṃ, <b>pubbaratt'āpararattaṃ</b> bodhipakkhiyānaṃ dhammānaṃ, bhāvanā'nuyogam'anuyuttā viharissāmā'ti.","“We will be guarded regarding the sense faculties, knowing the correct measure in regard to food, devoted to wakefulness, [and] having clear insight of wholesome qualities, we will dwell devoting ourselves to mental cultivation, developing day and night the aids leading to enlightenment.”"
54537,ratta 1.1,,AN6.17,yes,"indriyesu guttadvārā bhavissāma, bhojane mattaññuno, jāgariyaṃ anuyuttā, vipassakā kusalānaṃ dhammānaṃ, pubba<b>ratt</b>'āpararattaṃ bodhipakkhiyānaṃ dhammānaṃ, bhāvanā'nuyogam'anuyuttā viharissāmā'ti.","“We will be guarded regarding the sense faculties, knowing the correct measure in regard to food, devoted to wakefulness, [and] having clear insight of wholesome qualities, we will dwell devoting ourselves to mental cultivation, developing day and night the aids leading to enlightenment.”"
71825,apararatta,āpararattaṃ,AN6.17,yes,"indriyesu guttadvārā bhavissāma, bhojane mattaññuno, jāgariyaṃ anuyuttā, vipassakā kusalānaṃ dhammānaṃ, pubbaratt'<b>āpararattaṃ</b> bodhipakkhiyānaṃ dhammānaṃ, bhāvanā'nuyogam'anuyuttā viharissāmā'ti.","“We will be guarded regarding the sense faculties, knowing the correct measure in regard to food, devoted to wakefulness, [and] having clear insight of wholesome qualities, we will dwell devoting ourselves to mental cultivation, developing day and night the aids leading to enlightenment.”"
48661,bodhi 1,,AN6.17,yes,"indriyesu guttadvārā bhavissāma, bhojane mattaññuno, jāgariyaṃ anuyuttā, vipassakā kusalānaṃ dhammānaṃ, pubbaratt'āpararattaṃ <b>bodhi</b>pakkhiyānaṃ dhammānaṃ, bhāvanā'nuyogam'anuyuttā viharissāmā'ti.","“We will be guarded regarding the sense faculties, knowing the correct measure in regard to food, devoted to wakefulness, [and] having clear insight of wholesome qualities, we will dwell devoting ourselves to mental cultivation, developing day and night the aids leading to enlightenment.”"
48671,bodhipakkhiya,bodhipakkhiyānaṃ,AN6.17,yes,"indriyesu guttadvārā bhavissāma, bhojane mattaññuno, jāgariyaṃ anuyuttā, vipassakā kusalānaṃ dhammānaṃ, pubbaratt'āpararattaṃ <b>bodhipakkhiyānaṃ</b> dhammānaṃ, bhāvanā'nuyogam'anuyuttā viharissāmā'ti.","“We will be guarded regarding the sense faculties, knowing the correct measure in regard to food, devoted to wakefulness, [and] having clear insight of wholesome qualities, we will dwell devoting ourselves to mental cultivation, developing day and night the aids leading to enlightenment.”"
