id,pali,selected_pali_word,class_source,extra,class_example,english_translation
4863,anupubbasikkhā,anupubbasikkhā,MN107,,"sakkā nu kho, bho gotama, imasmiṃ dhammavinaye evam'eva <b>anupubbasikkhā</b> anupubbakiriyā anupubbapaṭipadā paññapetuṃ?","Master Gotama, is it possible, similarly, to describe gradual training, gradual undertaking, gradual progress in this Doctrine-and-Discipline?"
5217,anusaya,ānusayānaṃ,MN18,,"ettha ce n'atthi abhinanditabbaṃ abhivaditabbaṃ ajjhositabbaṃ, es'ev'anto paṭigh'<b>ānusayānaṃ</b>,","If here, there is not [something which] should be delighted in, welcomed, clung to. Just this is the end of the underlying tendency towards conflict."
11288,ācariya 1,ācariye,SN7.15 (simpl),yes,"mātari pitari ca, atho jeṭṭhamhi bhātari. <b>ācariye</b> ca, tesu na mānaṃ karohi.","Towards mother and father, and after that, towards the eldest brother; and towards the teacher. Do not show conceit towards them."
13147,āvuso,āvuso,MN43,,"dve kho, <b>āvuso</b>, paccayā animittāya cetovimuttiyā samāpattiyā, sabbanimittānaṃ ca amanasikāro, animittāya ca dhātuyā manasikāro.","Friend, [there are] indeed two supporting conditions for the attainment of the signless liberation of mind: non-attention to all objects and attention to the signless state."
16449,upekkhā,upekkhā,AN7.49,,"āhāre paṭikūlasaññāya paricitena, bhikkhave, bhikkhuno cetasā bahulaṃ viharato, rasataṇhāya cittaṃ patilīyati patikuṭati pativattati, na sampasāriyati, <b>upekkhā</b> vā pāṭikulyatā vā saṇṭhāti.","For a monk frequently remaining with the mind fortified by the perception of the repulsiveness of food, [his] mind withdraws from, bends back from, rolls back from craving for tastes, equanimity or revulsion is established."
26555,citta 1.1,citte,MN39,,evaṃ samāhite <b>citte</b> parisuddhe pariyodāte anaṅgaṇe vigat'ūpakkilese mudubhūte kammaniye ṭhite āneñjappatte pubbenivās'ānussatiñāṇāya cittaṃ abhininnāmeti.,"When [his] mind is thus collected, [when it] has become pure, bright, spotless, without defilement, pliable workable, stabilized, [and] imperturbable, he inclines [his] mind for the knowledge from the recollection of previous lives."
27392,chanda 1,chandaṃ,SN22.25 (simpl),,saṅkhāresu <b>chandaṃ</b> ca rāgaṃ pajahatha.,Abandon interest and desire for volitional formations.
28749,jhāna 2,jhānaṃ,MN39,,"vivicca kāmehi vivicca akusalehi dhammehi, paṭhamaṃ <b>jhānaṃ</b> upasampajja viharati","Having separated from sense pleasures and unwholesome mental states, he arrives at the first stage of meditation and remains there."
38255,nissaggiya 1,nissaggiyaṃ,VIN PAT NP 7,,"santar'uttaraparamaṃ tena bhikkhunā taṃ cīvaraṃ sāditabbaṃ. tato ce uttari sādiyeyya, <b>nissaggiyaṃ</b> pācittiyaṃ.","That robe cloth [for] an under [robe] and an upper [robe] at the most could be accepted by that monk; if he should accept [robe cloth] more than that, [it is] an offence involving relinquishment."
45252,pācittiya 1,pācittiyan'ti,VIN PAT PC 57,,"yo pana bhikkhu oren'addhamāsaṃ nahāyeyya, <b>pācittiyaṃ</b>","whichever monk should bathe within half a month, that is an offence requiring confession."
