id,pali,pos,meaning
167,akāla 3,adj,out of season; unseasonal
172,akālapuppha,nt,unseasonable flower; blossom appearing out of season
808,aṅgika,adj,consisting of x parts; composed of x factors
933,accatari,aor,crossed beyond; transcended; overcame; escaped
1360,ajjhāvasati 1,pr,lives (in); inhabits; stays (in); is settled (in); dwells (in)
1408,ajjhokirati,pr,scatters down; pours down
1449,ajjhohari,aor,swallowed
1581,aññamaññābhigijjhanti,pr,they are jealous of each other; they envy each other; they covet one another's (wealth)
2065,atikkama 1,masc,surpassing; transcending; going beyond; overcoming (of)
2513,attabyābādha,masc,hurting oneself; harm to oneself; self-affliction
2826,athopi,sandhi,and too; and even; nor even
3626,ananugiddha,pp,not greedy; without desire (among)
3824,analaṅkata 1,adj,with insatiable appetite (for); unsatisfiable (by)
3963,anādiya,ger,not taking up
4698,anupabbajjā,fem,following (of) into the monastic life; renunciation under
4713,anupariyāya 1,adj,going around; encircling; perimeter
4717,anupariyāyapatha,masc,encircling path; perimeter road
4990,anubrūhanta,prp,fostering; nurturing; developing; increasing
5315,anussati,fem,memory (of); recollection (of)
5644,anta 4,nt,intestines; entrails
5657,antaguṇa,nt,mesentery
5755,antalikkhe,ind,in the sky; in the air
5971,anvāssavati,pr,streams in; floods in; overwhelms
6518,apasādeti,pr,disparages; belittles; puts down
6773,appakicca,adj,unencumbered; with few obligations; with few duties; with little work
6776,appagabbha,adj,not cheeky; courteous; respectful; modest; unassuming
7170,abandhana 1,adj,free; unchained; unshackled; untied
7224,abbuyha,ger,pulling up; pulling out; tearing up; uprooting
7255,abbhakkhāna,nt,misrepresenting; slandering; falsely accusing (someone of)
7595,abhigijjhati,pr,envies; begrudges; covets; is jealous (of)
7816,abhiniggaṇhāti,pr,firmly grabs hold (of); seizes tightly; forces into submission; forcibly restrains
7842,abhinippīḷeti 1,pr,completely crushes down; squeezes down hard
7956,abhipatthayati,pr,longs (for); hopes (for); craves (for); aspires (for)
7976,abhippakirati,pr,completely covers; scatters (over); pours (onto)
8189,abhisantāpeti,pr,tortures; torments
8235,abhisambuddha 1,pp,realised (by); perfectly understood (by); discovered (by)
8693,amhā 1.1,pr,we are
8987,ariyañcaṭṭhaṅgikaṃ,sandhi,and the Buddha's eight-part; and the noble eight-fold
9331,asaṅkhāditvā,abs,having not chewed; having not munched
9661,asaṃvuta 2,pp,unrestrained (in); uncontrolled (in); unguarded (in)
10042,assāda,masc,enjoyment; satisfaction; pleasure; gratification (in); (comm) sweetness
10223,avajjhāyati,pr,mis-meditates; stews (over); brews (over)
10269,avatthāraka,masc,spreading over; covering over; strewing down
11627,ādīnava 1,masc,danger (in); problem (in)
13108,āvibhāva,masc,appearance; manifestation; becoming visible
13646,iddhi 1,fem,psychic power; psychic potency; supernormal ability
13679,iddhividhā,fem,kinds of psychic power; types of supernormal ability
13707,idhāvuso,sandhi,here friend; now brothers; in this case brethren
13969,īsī,fem,queen; female ruler
14271,ucca 1,adj,high; tall
16088,upasaṅkamana,nt,approaching; visiting
16318,upādānakkhandha,masc,pile of fuel (for the fire); heap of acquisition; physical and mental conglomerations that are clung to; pile of matter and mind that are held onto as a self; grasping group
18112,evamevaṃ,sandhi,similarly; in exactly the same way; so too
18555,ottappati 1,pr,regrets; feels remorse; feels guilty; is conscientious (about)
19254,kacca,ger,doing; making; acting; performing
19763,kattukāma,adj,intending to do; wanting to make; wishing to cause
19770,kattuṃ,inf,to do; to make
21168,kāyaduccarita,nt,physical misconduct; bodily misbehaviour
23438,khandha 2,masc,shoulder; back
23629,khādi,aor,chewed; devoured; ate
24504,garu 1,adj,heavy; onerous; weighty
24557,gala 2.1,masc,neck; throat
25014,gihippaṭisaṃyutta,adj,(vinaya) connected with laypeople
25037,gihī,masc,householder; layperson
25065,guṇa 1.5,masc,string; thread; tie
25137,guhā,fem,cave; cavern
25239,gocara 1,masc,food; fodder; grazing; pasture
25530,ghara 1,nt,house; home; household
25730,cakkhundriya 1,nt,sense of sight; visual faculty
26375,cāgasampadā,fem,attainment of generosity; success in charitableness
27671,chinna 5,pp,(of a stream) cut across; breasted; forded
27697,chinnasota,adj,who has cut the stream (of craving or becoming)
28829,jhāyī 1,masc,meditator; yogi
29018,ṭhapetvā 2,abs,having left; having set aside
29343,taṇhamabbuyha,sandhi,uprooting desire; pulling out craving; removing thirst
30404,tāvāhaṃ,sandhi,as long as I; until I
30549,tiṇavatthāraka,masc,(vinaya) covering with grass; sweeping under the carpet
30778,tiro,ind,through; across; throughout; from outside
30800,tirobhāva,masc,disappearance; vanishing
31546,thullavajja,nt,serious offence; expellable offence and offence requiring suspension
32270,dānasaṃvibhāgarata,adj,loving to give and share; who delights in sharing gifts; who enjoys distributing charity
32954,dukkhasamuppāda,masc,arising of discomfort; origination of suffering
32985,dukkhaṃ,ind,badly; with difficulty; uncomfortably
33018,dukkhūpasama,masc,calming of suffering; relief from suffering; alleviation of suffering
33019,dukkhūpasamagāmī,adj,leading to relief from suffering; leading to alleviation of suffering
33684,dubbalatara,adj,weaker
33763,duraccaya,adj,difficult to escape; hard to cross; hard to overcome; difficult to get past
34834,dhammayoga,adj,devoted to (learning and preaching) the teaching
35405,nagara 1,nt,town; city
36124,nājjheti,pr,does not fret; does not worry; is not anxious
36380,nābbhaññāsi,aor,did not directly know; did not understand experientially
36815,nikkhipitvā 1,abs,having placed down; having laid on the ground; having dropped; having deposited
37030,nicchāta,adj,satiated; satisfied; desireless
37085,nijjhāyati 1,pr,meditates; reflects; considers; ponders (over)
37356,nipaka 1,adj,intelligent; wise; discerning; astute
39308,paccaññāsi,aor,admitted; claimed
39345,paccanubhavati,pr,displays; manifests
39429,paccavekkhamāna,prp,reviewing; reflecting (on); looking (at)
39746,pajjhāyati,pr,broods; is anxious; is concerned; is overcome
39819,pañcannaṃ 2,card,of five
41719,pati 2.1,masc,lord; master; ruler
41857,pattakalla,nt,good time; suitable occasion (for)
41988,patha 1,masc,path; road; way
42780,payata 1,pp,generous; liberal; open
42783,payatapāṇi,adj,open handed; freely giving; generous
42804,payirupāsanā,fem,closely associating (with); attending (to); sitting at the feet (of)
43132,parāyaṇa 1,adj,destined (for); culminating (in); going towards
43603,parinibbuta 1,pp,(of mental defilement) completely quenched; entirely emancipated; completely cooled
44357,parihāpeti,pr,lets fall away; loses; wastes
44567,pallatthikā 1,fem,sitting posture with something clasped around the knees
45383,pāṇi 1,masc,hand; palm
47125,puro,ind,in front; at the head; leading
47126,purohita,masc,chief priest; royal advisor
47709,phāliphulla,adj,flowering; in full blossom
48142,bahudhā,ind,in many ways; in many forms
48453,biḷāra,masc,cat
48865,byābādha,masc,injury; harm; affliction
50116,bhumma 1,adj,earthly; terrestrial
50151,bhūta 04,pp,become; born
50684,macchera,nt,selfishness (for); stinginess (about); meanness; tight-fistedness
51249,manoduccarita,nt,mental misconduct; misbehaviour by mind
51507,mala 1,nt,dirt; impurity; stain; dross; filth; grime; tarnish; grunge; contaminant
51514,malamacchera,nt,stain of stinginess; impurity of miserliness
52093,mahesī 1.1,fem,queen; royal consort
52919,mutta 2.1,pp,released (from); freed (from); liberated (from); let loose (from)
52927,muttacāga,adj,giving freely; freely generous; open handed
52984,mudumūsi,masc,young mouse; small rat
53140,mūsi,masc,rat; mouse
53564,yatvādhikaraṇamenaṃ,sandhi,on account of which this
53748,yadi 2,ind,whether … or
53772,yamaka 1,adj,pair; twin
53777,yamakasāla,masc,pair of sal trees
53910,yāca,nt,something asked for; begged item
53921,yācayoga,adj,charitable; open to requests; devoted to charity
53978,yānīdha,sandhi,whichever here
54495,rañño 2,masc,of the king; king's
54511,rata,pp,delighted (with); devoted (to); taking pleasure (in); pleased (with); enjoying
55897,luddha 2,pp,greedy; covetous
56386,sakkacca,ind,respectfully; reverentially; carefully
56870,saṅga 1,masc,tie; bond; snare; sticking point
57939,sadattha 2.1,masc,one's own benefit; personal welfare
58118,sadhana 1.1,adj,rich; wealthy
58156,santa 2.1,pp,still; calm; at peace; tranquil
58277,santindriya,adj,calm; at peace
58300,santussaka,adj,who is satisfied; who is pleased; who is content
58346,santhā,fem,meeting together; assembly
58347,santhāgāra,nt,meeting hall; council hall; (comm) sacrificial temple
58516,sannicaya,masc,hoard; pile; stockpile; cache; stash; accumulation
58909,sabbaphāliphulla,adj,in full flower; in full blossom
59041,sabbeva,sandhi,all just; one and all; everyone; everything
59117,sama 1.2,adj,like; equal (to); same (as); identical (to)
59295,samatthi,sandhi,there is equal (to); there is comparable (to)
59541,samāgata 1,pp,gathered; assembled; met
60101,samuppāda 1,masc,origin (of); arising (of); appearance (of)
