id,pali,pos,meaning
2465,attatā,fem,selfhood; beingness; state of being
3310,adhimutta 1,pp,set (on); intent (on); focused (on); fixed (on); fixated (on); resolved (on)
4982,anubyañjana 1,nt,secondary characteristic; detail; feature
4984,anubyañjanaggāhī,adj,enticed by the details; focussing on the secondary characteristics
5421,anuvicāreti,pr,re-looks at; re-examines; reflects (on); meditates (on)
5480,anūpaghāta,masc,not harming; not hurting; non-violence
5489,anūpavāda,masc,not blaming; without insulting; not abusing
6957,appamatta 1.1,pp,diligent (in); vigilant (about); careful (about); attentive (to)
6971,appamāṇa 1,adj,immeasurable; unlimited; limitless; boundless
7415,abyāpajjha 2.2,adj,free from ill will; not malicious; kind-hearted
8147,abhisaṅkharoti 1,pr,creates; constructs; generates; forms; fabricates
8752,ayampi,sandhi,one too; this too
9250,aluddha,masc,who is not greedy
9253,alobha,masc,non-greed; absence of desire; moderation
10843,ahaññeveko,sandhi,only I alone; just me
11608,ādisa,adj,of character; of quality; of kind; referring to
12117,āmisa 3,nt,worldly thing; physical item; material stuff
13350,iccevaṃ,sandhi,thus like this
13351,iccha,adj,wishing (for); desiring; wanting
13607,ida,ind,in this case; here
13613,idappaccayā,ind,due to this; on account of this; because of this
13667,iddhimant,masc,who has psychic powers; possessing supernormal ability
13715,idhekacca,pron,here one; here a certain; in this case some; some people here
13793,imasmiṃyeva,sandhi,in this very; in this exact
13806,imāhaṃ,sandhi,this I
13989,ukkaṭṭhā,fem,name of town
14810,uttiṇṇa,pp,(of water) crossed over; emerged from; come out the other side
15196,uddhamadho,ind,above and below
17619,ekamidāhaṃ,sandhi,this one (time) I
18063,evañcetaṃ 1,sandhi,even if this; even if this is the case
18084,evamāgata,adj,thus concluded
18116,evarūpa,adj,such; similar kind of; of such quality
18211,evāhaṃ,sandhi,so I; thus I
20852,kaḷebara 1,nt,body
21218,kāyasaṅkhāra 2,masc,intention which results in bodily action
21673,kiñhi,sandhi,what indeed?; what possible?; how?
22600,kulla 1.1,masc,boat; raft
22645,kusalamūla,nt,wholesome root; root of merit
24184,gata 1,pp,gone (to); went (for)
24185,gata 2,pp,become (a certain way); being in (some state); gone into (a state)
24416,gama,adj,going; able to go
24816,gāminī,adj,going (to); leading (to)
24818,gāmī 1,adj,leading (to); going (to); heading (to)
24871,gāhī 1,adj,grasping after; grabbing hold (of)
25096,gutta,pp,guarded; protected; kept watch (over)
25098,guttadvāra,adj,guarding the doors (of); with self-restraint (in); protecting the mind (wrt)
27251,corosi,sandhi,you are a thief!; you are a robber!
28034,jarādhamma,adj,liable to grow old; of the nature to decay
29492,tatiyampi,sandhi,for the third time
29553,tato tato 1,idiom,from this or that; on account of this or that
29661,tathā tathā,idiom,in those ways; just like that; in that manner
29775,tadapi,sandhi,that itself; just that
31591,thena,masc,thief; robber
31599,thenosi,sandhi,you are a thief!; you are a robber!
33371,dutiyampi,sandhi,for the second time
34348,dvāra 1,nt,door; entrance; gate; gateway
35514,nati,fem,inclination; tendency; bent; bias
37770,nimittaggāhī,adj,grasping the external characteristics; focusing on prominent features
38325,nissāya 1,ger,leaning (on); depending (on); being supported (by)
39399,paccayā,ind,dependent on; due to; caused by
40072,paññāyati 1,pr,is clearly known; is evident; is perceived; there is
40548,paṭipadā 1,fem,way; path of progress; path of practice
40815,paṭisañcikkhati,pr,reflects; considers; discerns
45127,pahita 1.1,pp,applied; directed; exercised
45131,pahitatta 1.1,adj,resolute; determined; applying oneself
45738,pāraṅgata,adj,reached the other shore; gone across safely; gone beyond; epithet of an arahant
46820,pubba 1.2,adj,going before; been before
46841,pubbaṅgama 1,adj,preceding (in); leading (in); first (in); as forerunner (of)
47541,phandamāna,prp,trembling; quivering; shivering; palpitating
47579,phala 1.1,nt,fruit; nut; berry
47813,pheṇapiṇḍa,masc,lump of foam; ball of froth
48106,bahukāra,adj,very useful; extremely helpful; of great service (for or in)
48185,bahulamanuvitakketi,pr,thinks about a lot; ponders frequently
48309,bālosi,sandhi,you are a fool!; you are an idiot!
48870,byāma,masc,"fathom; measure of length; from head to foot, or two arms extended"
48872,byāmamatta,adj,fathom long
50174,bhūtapubbaṃ 1,ind,formerly; previously; in the past
50176,bhūtapubbāhaṃ,sandhi,formerly I; in the past I; once upon a time I
50393,bhojaputta,masc,resident of the Bhoja country; (comm) hunter
51104,manasā,masc,by mind; with mind; mentally
51268,manopubbaṅgama,adj,led by mind; preceded by mind; headed by mind; with mind as forerunner
51271,manomaya 1,adj,mind made; mentally produced
51300,manoseṭṭha,adj,with mind as chief; ruled by mind
51422,maya,adj,made of; constructed by; built of
51560,mahaggata 1,adj,enlarged; exalted; expansive; grand; impressive
52316,mānubyañjanaggāhī,adj,don't be enticed by the details; don't focus on the secondary characteristics
53153,mūḷha 1,masc,foolish person; deluded man; madman
53162,mūḷhosi,sandhi,you are insane!; you are deluded!; you are confused!
53501,yaññadeva,sandhi,just whatever; just which; whatsoever
53735,yadapi,sandhi,whatever itself; whatever even; which just
53791,yamahaṃ,sandhi,whatever I; which I; that I
53890,yaṃpaccayāssa,sandhi,on account of which for him; because of which for him; due to which for him
54022,yāvañcidaṃ,sandhi,and in this case; and in this regard; and as far as this; to such an extent
54431,rajas 2,masc,dust; dirt
55154,rūpa 4,adj,of character; having nature of; of type; of kind; having the quality of; appearing as
55451,rohitassa,masc,previous name of a deity
55992,lokanirodhagāmī,adj,leading to the end of the world
56039,lokāmisa 1,nt,worldliness; material pleasure; worldly pleasure; material delight
56042,lokāmisādhimutta,adj,intent on material pleasure; fixated on worldly gain
56229,sa kho so,idiom,truly this; indeed this
56232,sa 2.1,pron,one; that; it; he
58839,sabbattatāya,ind,to all beings; encompassing all living beings
58849,sabbatthamaparājita,adj,undefeated everywhere; unconquered in every respect
58875,sabbadhi,ind,everywhere; in every way; in all respects
58953,sabbasaṅkhāra,masc,all activities; all processes; all conditions; all fabrications; all formations
59322,samanaka,adj,with understanding; with intelligence; (comm) with mind
60141,samūhata 1,pp,removed; uprooted; eradicated; exterminated; destroyed
61239,sasaññī 1.1,adj,percipient; with perception; with awareness
62349,sāmaṃ 1,ind,oneself; by oneself; for oneself
62556,sāla 1.1,masc,sal tree; Shorea robusta
62564,sālarājamūla,nt,root of the king of sal trees
63455,sukha 1,adj,easy (on); comfortable (for); pleasant (for); good (for); contented
63468,sukhadukkha 1,nt,ease and discomfort; pleasure and pain; happiness and sorrow
64215,subhaga,adj,lucky; fortunate; blessed
64217,subhagavana,nt,name of a wood in Ukkaṭṭhā
64819,seṭṭha 1,adj,foremost (among); best (of); primary; most important; supreme (among)
65275,sotthinā,ind,safely
66180,vana 1.1,nt,wood; forest; grove
66822,vānara,masc,monkey
66863,vāyamamāna,prp,making an effort (to); striving (for); exerting oneself (to)
67441,vicārita,pp,thought about; contemplated; investigated
68437,vipula 1,adj,vast; extensive; expansive; massive
68487,vippalapanta,prp,talking; chattering
70017,vuṭṭhi,fem,rain; rainfall
70125,vūpakaṭṭha,pp,secluded (from); isolated (from); withdrawn (from)
70221,veti,pr,disappears; perishes; goes away; wanes
70531,vehāsaṅgama,masc,sky walker; air walker; flyer
73787,vitakka 3,nt,thought; reflection; pondering
