id,pali,pos,meaning
192,akiñcana,adj,with nothing; is nothing; having no; possession-less; epithet of an arahant
246,akusala 3,adj,unhealthy; unwholesome; unskilful; unbeneficial; kammically unprofitable
527,agāra 2,nt,household life; domestic living
533,agārasmā anagāriyaṃ pabbajati,idiom,goes forth from home to homelessness; leaves home to become a monk
970,accādhāya,ger,overlapping; placing one on top of another
1068,acchādetvā,abs,having dressed (in); having clothed oneself (in); having put on
1478,añjali 1,masc,palms placed together (as a token of respect)
1497,añña 1.1,pron,another; other; different; someone else; not oneself
1507,aññatara 1,pron,a certain; a
1977,aṇumatta,adj,tiniest; smallest
2569,attānaṃ,masc,self; himself; herself; itself; yourself; oneself (object)
3462,anagāriya 1,nt,homelessness; homeless state
3499,anañña,pron,not another; no other
4084,anāvikatvā,abs,having not disclosed; having not made clear; having not openly declared; having not revealed
4225,animitta 1,pp,signless; featureless; free of mental images
5178,anulometi 2,pr,regulates; settles; balances
5559,anoka 1,adj,homeless; without worldly attachment
5563,anokamāgamma,ger,becoming homeless; (comm) coming to non-clinging
5672,antamaso 1,ind,even so much as; even with; even down to; with as little as
6092,apaccakkhāya,ger,not giving up; not disavowing; not renouncing; not rejecting
6314,aparājita 1,pp,unconquered; undefeated; victorious; triumphant
6398,apariyādinna 1,pp,not used up; not exhausted; not consumed; not run out
6658,api 1.2,ind,even; even then
7371,abbhetabba,ptp,(vinaya) should be rehabilitated; should be reintegrated; should be readmitted
7555,abhikkanta 3,pp,advanced; progressed; moved on; (comm) ending; depletion
7559,abhikkantavaṇṇa,adj,stunningly beautiful; of extraordinary appearance
7561,abhikkantāya rattiyā,idiom,as the evening passed; as the night progressed
7658,abhijjhādomanassa,masc,covetousness and depression; wanting and unhappiness; craving and aversion; greed and distress
8079,abhirati,fem,pleasure (in); delight (in); happiness (in)
8498,amanasikāra 1,masc,non-attention (to); ignoring
8844,arañña,nt,forest; wood; wild; wilderness
9588,asammosa 1,masc,not forgetting; non-confusion
9654,asaṃvāsa 1,adj,(vinaya) expelled; excommunicated; unaffiliated; not part of the community
9876,asesaṃ,ind,completely; entirely; totally; without remnant
10795,avoca,aor,said (something to)
11224,āgamma 1,ger,coming (to); arriving (at); meeting (with)
11470,ātāpī,adj,avid; ardent; zealous; with continuous effort
11525,ādāya 4,ger,adopting; assuming; according (to)
11774,ānisaṃsa 1,masc,profit (in); benefit (in); advantage (of); good result (of)
12037,ābhujitvā,abs,having bent; having folded
12113,āmāvasesa,masc,undigested remains of food
12391,ārabhati 1.1,pr,begins; starts; undertakes; arouses oneself (to); makes an effort (to)
12763,āsana 1,nt,seat; chair
13354,icchati 1.1,pr,wishes; wants; desires (to)
13582,itthimati,fem,woman's intentions (to); woman's proposal (to)
13602,itthī 1,fem,woman; female
13866,isipatana,nt,name of a forest near Bārāṇasī
14413,ujuṃ,ind,uprightly; erectly
14521,uṭṭhānasaññā,fem,notion of waking up; wake up time
14533,uṭṭhāya,ger,rising (from); emerging (from); getting up (from)
14535,uṭṭhāyāsanā,ger,rising from one's seat
14706,uttarāsaṅga,masc,upper robe
15510,upaṭṭhapetvā 1,abs,having set up; having made sure is present
15971,upari 1,ind,above; overhead
16015,uparujjhati,pr,is stopped; is ended; is finished
16124,upasampajja 1,ger,reaching; attaining; arriving at
16558,uppajjeyya,opt,would become available (for); would accrue (to); could crop up (for)
17282,ūna 2,nt,shortage (of); deficiency (of); lack (of); want (of); need (for)
17384,ekaka 1,adj,alone; solitary
17460,ekato 1,ind,on one side
17702,ekaṃsaṃ,ind,on one shoulder; over one shoulder
17896,etaṃ 1,pron,this; this thing (subject)
17901,etādisa,adj,of this kind; of this type; such as this
17945,ettha 1,ind,here; in this place; in this case; in this regard
18048,eso,pron,this; this thing; this person; he; it
18053,eva 3,ind,even; too; as well
18254,oka 1.1,masc,home; abode
18788,obhāsetvā,abs,having lit up; having illuminated
19064,ovadita,pp,advised; instructed; taught; admonished
19087,ovāda 1,masc,advice; instruction; encouragement; exhortation
19133,ohāretvā,abs,having shaved; having shaved off
19560,kaṇha 1,adj,dark; black
19790,katvāna 1,abs,having done
20503,karitvā 2,abs,having made
21488,kāsāya 1,adj,organic brown; colour of Buddhist monks' robes
22620,kusala 1,adj,healthy; beneficial; useful; good; wholesome; karmically profitable
22868,kesamassu,nt,hair and beard
22907,kevalakappa,adj,whole; entire
23701,khipi 1.1,aor,threw; tossed; hurled
23797,khīrapaka,adj,suckling; nursing
23842,khuddā 1.1,fem,hunger
24162,gaṇhati 1,pr,grabs hold (of); seizes; takes
24707,gahetvā 1,abs,having taken; having held
26542,ciṇṇamānatta,adj,who has performed penance; who has completed deference
26582,cittaklesa,masc,mental defilement; impurity of mind
27150,cetovimutti 1,fem,mental liberation; emancipation of heart; (comm) samadhi obtained from fruition
27393,chanda 2,masc,(vinaya) consent; agreement; approval
27621,chijjati 1,pr,is cut off; is severed
27921,janeti,pr,generates; produces
28132,jahati 1,pr,gives up; leaves; abandons; deserts
29112,ṭhiti 1,fem,stability; constancy; continuity; endurance; persistence; longevity
29559,tato 1,pron,from that; therefrom; from him
29801,tadahujāta,adj,born that very day; born the same day
30164,tassa 2,pron,of that; his; its
30178,tassā 2,pron,of her; hers; of that
30247,tā 1.2,pron,those; them (females)
30371,tāva 1,ind,until then; that long
30749,tiracchānagatā,fem,female animal
31196,tejodhātu 1,fem,fiery state
31218,tena 3,ind,there
31220,tenañjaliṃ,sandhi,hands in reverential salutation towards someone
31221,tenañjaliṃ paṇāmetvā,idiom,having stretched out the hands in reverential salutation towards
31236,tenupasaṅkami,aor,approached there; went to that place
31693,dakkhiṇa 1,adj,right (hand side)
32331,dārikā,fem,girl; daughter
33693,dubbalya,nt,weakness; lack of strength; feebleness; incapability
33911,dūrama,adj,difficult to delight (in); hard to enjoy
34955,dhammānupassī,adj,observing phenomena; who watches mental phenomena; (or) observing the nature of things
34980,dhammiyā kathāya,idiom,with a Dhamma talk; with a religious discourse; with a spiritual sermon
34983,dhammī 1,adj,righteous; religious; moral; related to the Dhamma
35037,dhātu 1,fem,state; property; condition; element
35159,dhītar,fem,daughter
36427,nāma 2,ind,called; means; by the name of; namely
36440,nāmagotta,nt,first name and surname; name and family clan
36516,nārī,fem,woman
36791,nikkhāmetvā,abs,having ejected (from); having expelled (from)
36804,nikkhipati 3,pr,sets aside; lays aside; keeps; saves; stores (something in)
38156,nisajja,ger,sitting down
39088,pakkāmi 1,aor,left; set off (from); went away (from)
