id,pali,pos,meaning
750,aṅkusa 1,masc,hooked pole (used for elephant control)
755,aṅkusaggaha,masc,mahout; elephant driver; (comm) elephant trainer
874,acāri 1.1,aor,walked around; wandered around; roamed
955,accayati 2,pr,(of time) passes; flies past
1389,ajjhupekkhitar,masc,equanimous observer (of); who observes indifferently
1465,añjana 1,nt,collyrium; black pigment; pitch-black colour
1468,añjanamakkhita,adj,with eyeliner; outlined
1560,aññadatthu 1,ind,most certainly; indeed; only
1563,aññadatthudasa,adj,all seeing; visionary
1774,aṭṭhapada 2,adj,in eight ways; eightfold
1776,aṭṭhapadakata,adj,arranged in eight ways; plaited eightfold
2012,atandita,pp,energetic; effortful; active; alert
3034,addhika,masc,traveller; tramp; homeless wanderer
3765,anabhibhūta,pp,unconquered (by); unvanquished (by); undefeated (by); not overcome (by)
5027,anumajjati,pr,strokes; massages; rubs
7339,abbhutadhamma 1,nt,marvellous accounts; unbelievable stories; one of the nine kinds of suttas
8015,abhibhū 2,masc,overlord; supreme being
10953,ahoratta,nt,day and night; days and nights; time
10955,ahorattamatandita,adj,tireless throughout the day and night; energetic all the time
10956,ahorattaṃ,ind,day and night; continuously; continually
11179,āgantuka 1,masc,guest; newcomer; new arrival; stranger
11333,ācikkhati 2,pr,describes; points out; shows (something to)
13091,āviñjati 1,pr,pulls; pulls on
13352,icchaka,adj,wanting; desiring
13494,itivuttaka,nt,Book 4 of the Khuddaka Nikāya; Quotations; Thus Said; one of the nine kinds of suttas
13886,issara 2,masc,god; creator; god almighty; (comm) lord of the world
14599,utu 3,masc,season; time of year
15005,udāna 1,masc,inspired saying; exclamation; one of the nine kinds of suttas
15965,uparata,pp,abstained (from); stopped (from); desisted (from)
18009,esanā 1,fem,searching; seeking; quest
18016,esanāpasuta,adj,engaged in seeking; devoted to the quest
18581,odaka 1,nt,water
19546,kaṇṇasota,nt,ear hole
19617,kataññutā,fem,gratitude; thankfulness; appreciativeness
20007,kapaṇa 2,masc,beggar; pauper; cripple
20008,kapaṇaddhika,masc,tramps and travellers
20136,kappiya 2.1,adj,constructing ideas; fabricating concepts
21639,kicchena,ind,with difficulty; painfully; with hardship
21657,kiñci 1,ind,something; anything
22350,kunnadī,fem,stream; rivulet
22699,kusuma,nt,flower; blossom
22701,kusumarajas,masc,flower pollen
23669,khiḍḍā,fem,amusement; play; fun; entertainment
23772,khīyati 1,pr,is destroyed; is exhausted; is worn away; is drained
24225,gatta 1,nt,(of the body) limb
24435,gamika 1,masc,traveller; leaver; who is going on a journey
24614,gaha 1,masc,grip; grabbing; seizing; holding
24727,gāthā 2,fem,suttas comprised of verse; one of the nine kinds of suttas
24836,gārava 1,masc,respect; reverence; esteem; value
24951,gilāna 2,masc,sick person; patient
25207,geyya 1,nt,mixed verse; mixed prose; one of the nine kinds of suttas
25781,caggimāsīno,sandhi,and seated (next to a) fire
26106,catūsu,card,in four; among four
26468,cārikā,fem,walking tour; walking journey
27254,coḷa 2,nt,cloth; rag
28186,jātaka 1,nt,stories of previous lives; birth story; one of the nine kinds of suttas
28352,jāyati 1,pr,is born (in); comes into being (from)
29564,tato 5,ind,after that; then; next
29715,tathāsamāhita,adj,thus composed; thus centred; thus settled
29743,tadajjahaṃ,sandhi,that today I; that now I
31244,tepi,sandhi,they too; and those too
31997,dalidda,adj,poor; needy; impoverished
32002,dasa 2.1,adj,seeing; understanding
32834,dīyi,aor,was given; was offered
33722,dubbhikkha 1,nt,famine; scarcity of alms-food
33732,duma 1,masc,tree
33947,dūhara,adj,hard to steal (for); hard to take (for)
34898,dhammassavana,nt,hearing the teaching; hearing a sermon; listening to the Dhamma
35435,nagga,adj,naked; nude
35569,nadī,fem,river
36923,niggaheti 1,pr,holds back; restrains; arrests
36928,niggahessati,fut,will hold back; will restrain
37845,nimmātar,masc,creator; designer; maker
38403,nivāta 2,masc,humility; gentleness; politeness; obedience
38691,nūparata 1.1,pp,not abstained; not stopped; not restrained
38748,netta 2,nt,eye
41449,paṭhamavasanta,masc,first flush of spring; early spring; first month of spring
41784,patiṭṭhita 1,pp,firmly grounded (in); well established (in)
41963,patthayāna,prp,wishing (for); aspiring (for); craving (for)
41976,patthiya 1,adj,desiring; wishing; aspiring
42361,pannabhāra,adj,who has dropped the burden; who has laid down the load
42625,pabhinna 1,pp,(of an elephant in rut) with juices flowing; releasing excretions
42766,pamodanā,fem,delighting; being happy; being joyful
43966,pariyāpuṇāti,pr,studies well; learns thoroughly; masters
44636,pasaṃsā,fem,praise (by); approval (of); commendation (of)
44716,pasuta 1.1,pp,engaged (in); engrossed (by); occupied (with); pursuing; looking (for)
44899,pavāti,pr,(of a smell) exudes; gives off; releases; diffuses
45391,pāṇinā,masc,with a hand; by the palm
45731,pāragavesī 1,adj,seeking salvation; who is looking for the beyond
46815,pupphita,pp,blossomed; bloomed; flowered
47110,pure 1,ind,before; earlier
49338,bhadda 1,adj,good; excellent; lucky; auspicious
49389,bhaddekaratta 2,adj,having a single auspicious night; (or) having an auspicious night alone
49416,bhabya,ptp,who are able to be; who will be; who could be
49652,bhāgī 1,masc,shareholder; who shares (in); who partakes (in)
49804,bhāvanāpāripūri,fem,maturity by development; completion by cultivation; full development by meditation
50029,bhiṃsanaka,adj,frightening; terrifying; scary; (comm) producing fear
50177,bhūtabhabya,adj,who are and who will be; who exist and could exist
50478,makkhita,pp,smeared (with); stained (with)
50619,macca,masc,man; mortal man
51067,madhura 1.3,nt,sweet smell; beautiful fragrance
51195,manussatta 1,nt,human existence; human state
51441,mayhaṃ 2,pron,my; mine
51840,mahābrahma 1,masc,great God almighty; supreme spirit
52700,middha 1,nt,drowsiness; sluggishness; lethargy
52907,muta 1,pp,"sensed; perceived; (or) thought; (comm) smelled, tasted, touched"
53548,yatthakāmaṃ,ind,as one wants; where one likes
53702,yathāsukhaṃ,ind,as one likes; as is comfortable; according to one's pleasure
53911,yācaka,masc,beggar; mendicant
54180,yenicchakaṃ,ind,wherever one wants; as one likes; according to desire; (comm) by whichever way one wants to go
54432,rajas 3,masc,pollen; spore
54535,ratī 1,fem,pleasure; enjoyment; delight
54668,ramati,pr,enjoys; finds pleasure (in); takes delight (in); likes
55619,labbhati 1,pr,is obtained (among); is acquired (from); is received (from)
55722,lābha 1,masc,gain; acquisition; benefit; profit
56555,sagga 1.2,masc,heaven; paradise
57203,sajitar,masc,designator; assigner; author
58292,santuṭṭhi,fem,satisfaction; contentment (with)
58871,sabbadhamma,masc,everything; all things; all mental phenomena; all states of mind; all teachings
58981,sabbaso 2,ind,all around; everywhere; from all sides
