id,pali,pos,meaning
161,akārita 1,pp,not caused to be done (by); not made to do
162,akāritapubba,adj,not previously done; formerly unperformed
235,akuppamāna,prp,not being shaken (by); not being disturbed (by); not being agitated (by)
1178,ajāyamāna,prp,not being born; not coming into being; not arising
1211,ajīyamāna,prp,not growing old; not getting old; not ageing
1601,aññā 1,fem,gnosis; spiritual insight; awakening; final knowledge
1628,aññātāvindriya,nt,faculty of one who is awakened
1630,aññātāvī 2.1,adj,who is awakened; who has final knowledge; who possesses perfect knowledge
1656,aññindriya,nt,faculty of awakening; power of final knowledge
2883,adiṭṭhapubba,adj,never seen before (by)
3281,adhimatta,adj,extreme; excessive; utmost; intense
3512,anaññāta,pp,unknown; not understood
3513,anaññātaññassāmītindriya,nt,faculty that senses 'I will know the unknown'
3540,anatiritta,pp,not leftover; not remaining
3807,anaya 1.1,masc,trouble; tragedy; misfortune; calamity; (comm) suffering
3810,anayabyasana,nt,misfortune and disaster; tragedy and ruin
3851,anavajjatā,fem,blamelessness; absence of sin
4284,anivesana,adj,without attaching; not clinging; without resting
5141,anuruddha 1,masc,name of an arahant monk; great disciple of the Buddha; foremost monk in the divine eye; cousin of the Buddha
5540,aneja,adj,unperturbed; unmoved; unruffled; unshakeable
5800,antevāsī 1,masc,apprentice; assistant; understudy
6660,api 1.4,ind,have?; did?; was?; perhaps?
6863,appaṭivānī,masc,indefatigably; zeal; tireless determination; resolute intention
6974,appamāṇasamādhi,masc,immeasurable mental composure; boundless stability of mind
8011,abhibhuyya,ger,conquering; vanquishing; overcoming; overpowering; mastering
8574,amīyamāna,prp,not dying
8798,ayoniso,ind,improperly; imprudently; unwisely; carelessly
8800,ayonisomanasikāra,masc,improper attention; imprudent use of the mind; unfocused attention
9416,asaddhammassavana,nt,not hearing the true teaching; not listening to the good doctrine
9964,assaddhiya,nt,lack of confidence; no faith; disbelief; lack of conviciton
10643,avibhatta 1,pp,not analysed in detail
11669,ādhāna 2,nt,placing; putting; keeping; (comm) strongly
11835,āpajjati 1,pr,comes to; experiences; gets (pleasure); suffers (pain); meets (with)
13139,āvudha 1,nt,weapon; arms; (comm) bows and crossbows
13252,āhāraṃ āhāreti,idiom,eats food; consumes fuel
