id,pali,pos,meaning
33,akata 2,pp,not made; not created
109,akammāsa,adj,unblemished; spotless; pure
176,akālika 1,adj,immediate; (comm) giving immediate fruit
177,akālika 2,adj,timeless; not limited to a particular time
293,akovida,adj,unskilled (in); not expert (in); not proficient (in); not a master (of)
399,akkhāta,pp,said; told; declared; announced (by)
441,akhaṇḍa,adj,unbroken; unfragmented; whole
734,aghato,ind,as trouble; as pain; as bad
888,acira,adj,(of time) not long; soon; recent
893,acirapabbajita,adj,recently ordained
952,accaya 3,masc,fault; offence; transgression
1077,acchidda 1,pp,unbroken; flawless; without cracks
1160,ajāta 1,pp,unborn; uncreated; unproduced
2415,atītānāgatapaccuppanna,adj,"in the past, the future and the present"
2476,attadīpa,adj,self-reliant; independent
2491,attani 2,masc,when self; when oneself
2492,attaniya,adj,one's own; belonging to oneself; fit to be a self
2545,attasaraṇa,adj,one's own refuge; helping oneself
2863,adassāvī,adj,who has no regard (for)
3037,addhuva,adj,not stable; not enduring; not eternal
3038,addhuvato,ind,as unstable; as unenduring; as not eternal
3152,adhigata 1,pp,got; acquired; attained; achieved
3404,adhunā,ind,recently; now; presently; at this time
3406,adhunāgata,adj,recently come (to); newly arrived (to)
3475,anaṅgaṇa,adj,spotless; blemish free
3511,anaññasaraṇa,adj,with no other refuge; independent of others
3539,anatimānī,adj,who is not conceited; who is not arrogant; who is humble
3550,anattato,ind,as impersonal; as not oneself; as non-subjective
4132,aniccato,ind,as impermanent; as unstable; as transient; as unreliable
4499,anuṭṭhita 1.1,pp,practised; established; (comm) repeatedly practised
4744,anupalabbhamāna 1,prp,not being found; being nonexistent
5383,anuvattī,adj,following; acting according to; obedient to
6030,apagata 1,pp,without; free (from); with no
6331,aparāmaṭṭha,pp,not grasped; not clung to; (comm) irreproachable
7320,abbhuggata,pp,arisen (about); spread (about); circulated (about)
7392,abyatta,pp,inexperienced; incompetent; inept; untrained
7820,abhininnāmeti 1,pr,inclines (towards); bends (towards); directs (towards)
8411,abhūta 1,pp,not become; not happened
8993,ariyadhamma 2,masc,teaching of the Buddha; noble teaching
9022,ariyasāvaka,masc,disciple of the noble ones; a noble disciple
9320,asaṅkhata,pp,unconditioned; not created; unformed; unconstructed; epithet of Nibbāna; (comm) not made
9473,asappurisa,masc,bad man; foolish man; unethical man; inferior man; person of no integrity
9490,asabala,adj,unspotted; not mottled; not patchy
9585,asammuṭṭha,pp,unmuddled; without confusion; not forgotten
9611,asallīna,pp,active; not sluggish
9698,asāra,adj,essenceless; substanceless; worthless; useless
9700,asārato,ind,as unessential; as insubstantial; as valueless; as essenceless
9705,asāraddha,pp,unagitated; unaroused; unexcited; calm
9727,asita 1.2,nt,eating
9885,asoka 1,adj,sorrow-free; free from sadness
10156,avakkhitta,pp,dropped; thrown down
10610,avinīta,pp,untrained (in); uneducated (about); undisciplined (in)
10619,avipariṇāmadhamma,adj,with unchanging nature; of stable condition
11559,ādittacela,adj,whose clothes are on fire; with blazing garments
11565,ādittasīsa,masc,whose head is on fire; with a blazing head
11810,āneñjappatta,adj,reached the imperturbable state; unflappable; unshakeable
11985,ābādhato,ind,as disease; as sickness; as illness; as affliction; as oppressive
11993,ābādhika,adj,sick; ill
12225,āyatiṃ,ind,in future
12928,āsevita 1,pp,practised persistently
13415,iṭṭha 1.1,pp,pleasing; likeable; cherished; wished for
14392,uju 1,adj,straight; upright; erect
14512,uṭṭhāna 2,nt,effort; exertion; initiative; activity
14525,uṭṭhānavīriya,nt,effort and exertion; get up and go
14526,uṭṭhānavīriyādhigata,adj,obtained by initiative and exertion
15571,upaṭṭhita 1,pp,present; in attendance
16280,upahata 1,pp,injured; impaired; broken; deteriorated
17411,ekagga 1,adj,unified; collected
17887,etarahi,ind,now; at present
18050,essati,fut,will go (to); will come (to); will reach
18220,ehipassika,adj,open to inspection; inviting to come and see for oneself; verifiable
18411,ogha 2,masc,(of defilements) deluge; inundation; torrent
18688,opanayika,adj,progressing onward; forward-leading; pragmatic
19153,oḷārika 1,adj,coarse; gross; substantial; physical; material
19735,kattar 1,masc,creator; maker
19956,kanta 1.1,pp,charming (to); pleasant (to); desirable; agreeable (to)
20201,kampati,pr,shakes; trembles; wavers; is disturbed
20292,kammaniya,adj,ready; workable; suitable for use; functional
21187,kāyaparihārika,adj,for looking after the body; for taking care of the body
21534,kāḷaka 2,nt,stain; dirt; dirty mark
21715,kittisadda,masc,reputation; renown
22157,kucchi 1,masc,stomach; belly
22170,kucchiparihārika,adj,for looking after the stomach; for taking care of the belly
22904,kevala paripūra,idiom,completely and utterly; complete and utter; 100%
22905,kevala 1,adj,all; whole lot; altogether; total; entire; complete
23369,khata 1.1,pp,hurt; injured; damaged
23645,khāyita 2,nt,eating; chewing
23741,khīṇa 1,pp,consumed; spent; finished; exhausted; slowly destroyed
23920,khema 1,adj,well; safe; secure; at peace; at rest
24144,gaṇḍato,ind,as a boil; as an abscess
25241,gocara 3,masc,sphere; domain; field; range
25775,cakkhuviññeyya,adj,visible; perceivable by the eye
26341,cassa 1,sandhi,and there would be; but there would be; and there might be
28468,jina 1,masc,conqueror; victor; champion; epithet of the Buddha
28848,ñatvā,abs,having known; having found out; having understood
28854,ñāṇa 2,nt,knowing (of); understanding (of); insight (into)
29025,ṭhassati,fut,will stand; will stay; will remain; will last
29088,ṭhita 2,pp,stationary; stable; stabilised; motionless; immovable
29587,tattha 2,ind,in that regard; in that case; regarding that matter
30166,tassa 4,ind,therefore; thus; so; because of that; regarding that
30268,tāni 1,pron,they; those; those things
30318,tāreti,pr,saves; helps across; rescues (somebody from)
32495,diṭṭhiṭṭhāna,nt,basis for opinion; grounds for view; standpoint for views
32583,dinna 1,pp,given (to); offered (to)
32888,dukkhato 2,ind,as suffering; as pain; as discomfort
33002,dukkhita 1,pp,afflicted (with); suffering (from)
33917,dūre 2,ind,away (from); far away (from); distant (from)
