id,pali,pos,meaning
929,accagamā 1,imperf,overcame; surmounted; conquered; transcended
1546,aññathā 1,ind,differently; otherwise
1969,aṇu 1,adj,small; tiny; minute; minuscule
2881,adiṭṭha 1.1,pp,not seen; unseen (by)
3017,addhāna 2,nt,time; period; extent
3414,adho 1,ind,below; under
4811,anupādāya,ger,not holding (onto); not grasping (onto); detaching (from); not taking possession (of)
6387,aparimāṇa 1,adj,measureless; boundless
7301,abbhācikkhi,aor,misrepresented; slandered; falsely accused
7710,abhiṇhaṃ,ind,continuously; repeatedly; regularly; often
7849,abhinipphādeti,pr,makes (someone) produce (a robe); makes come up with
7919,abhinivissa,ger,attaching; clinging; adhering; sticking; doubling down
8419,abhūtena,ind,falsely; untruthfully
9388,asatā 1,ind,falsely; unjustly; unreasonably; under a false pretext
9467,asapatta,adj,peaceful; without hostility
9569,asambādha,adj,unobstructed; unhindered; unrestricted
10593,avidūre,ind,near (to); not far (from)
10736,avītarāga,adj,not free from desire (for); not without lust (for); not an arahant
10788,avera 1,adj,kind; friendly; peaceful; free of ill-will; without animosity
13344,iccetaṃ kusalaṃ,idiom,then this is good; then it is OK
13345,iccetaṃ 1,sandhi,that is
13809,iminā,pron,with this; by this
13836,iriyā 2,fem,conduct; behaviour; way of living
14352,ucchijjati,pr,is destroyed; is annihilated
14500,uṭṭhahati 1,pr,gets up; gets out; arouses oneself
15130,uddissa 1,ind,in the name of; on account of; for the sake of; especially for
15136,uddissamāna,prp,being recited; being chanted
15209,uddharati 1,pr,pulls up; pulls out; lifts up; raises
15233,uddhaṃ adho tiriyaṃ,idiom,above below and across; in every direction
15234,uddhaṃ 1,ind,above; up; on top
15325,upakappati,pr,is beneficial (for); is good (for)
16102,upasanta 1,pp,calmed; cooled; composed; still; calm; at peace; tranquil
16859,ubhayamantarena,ind,in-between the two
18028,esā,pron,she; this; this woman
18042,esī,adj,who is seeking; looking for
18047,esevanto,sandhi,just this is the end (of)
18114,evampi,sandhi,likewise; just like this; similarly; so too
20878,kā 2.1,pron,what?; which?; which woman?
20990,kāmataṇhā,fem,craving for sensual pleasure
21012,kāmapariḷāha,masc,fever for sensual pleasures; burning passion for sensual objects
22529,kula 2,nt,supporter; supporting family
22832,kena 1,pron,by what?; by who?; with what?; how?
23289,khajjati 1,pr,is eaten (by); is nibbled (by)
23299,khajjamāna,prp,being eaten (by); being devoured (by)
23300,khajji,aor,was being eaten (by)
25178,gūthabhāṇī,adj,who lies; who talks crap; (or) foul in speech
25880,catukkhattuṃ,ind,four times
27279,chakkhattuparamaṃ,ind,six times at most; not more than six times
27280,chakkhattuṃ,ind,six times
27994,jaya 1,nt,victory; conquest; winning
28002,jayaparājaya,masc,victory and defeat; conquest and loss; winning and losing
28958,ñāyati 1,pr,is known; is evident; is perceived
29059,ṭhānaso 1,ind,on the spot; right there; immediately
29228,taggha,ind,truly; surely; definitely; most certainly
29562,tato 4,ind,therefore; thereupon; thereby; because of that; after that
30154,tasmiṃ 2,pron,when that
30770,tiriyaṃ 1,ind,across
30959,tucchā,ind,baselessly; groundlessly; emptily
30992,tuṇhībhūta,pp,silent; quiet; mute
31337,tehi 1,pron,with them; with those; by them
31473,thāmasā,ind,obstinately; stubbornly
31575,thūla 1,adj,massive; large
31709,dakkhiṇā 1,fem,gift; donation
32290,dāni,ind,now; immediately
32668,dissati 1,pr,is seen; is observed; is manifest
32669,dissati 2,pr,seems
32757,dīgharattaṃ,ind,for a long time
33087,duṭṭha 1,pp,wicked; evil; bad; corrupt
34289,dvattikkhattuṃ,ind,twice or thrice; two or three times
36429,nāma 3,nt,name
36803,nikkhipati 2,pr,puts down; places down; lays down
37217,niddā,fem,sleep; (comm) sleeping too much
38065,nirujjhamāna,prp,dissolving; stopping; ending; ceasing; disappearing; vanishing
38198,nisinnapubba,adj,seated before; previously attended
38572,nīyati 1.1,pr,is led; is led astray; is misled; is led about (by)
39769,pañcakkhattuṃ,ind,five times
43084,parājita,pp,conquered; defeated; who lost
43130,parāmāsā,ind,clinging; adhering; clutching
43181,parikassati 1.1,pr,is dragged about (by); is swept away (by); is carried away (by)
43423,pariḍayhamāna,prp,being burnt (by); being tormented (by); being afflicted (by); being distressed (by)
44618,pasavati 2,pr,produces; generates; makes; gives birth to
44744,passaddhakāya,adj,with a relaxed body; who has a calm body; with bodily tranquility
44996,pavuccati,pr,is called; is named; is said to be
45140,pahīyati 1.1,pr,is abandoned; is given up
45142,pahīyamāna,prp,being abandoned; being given up
45508,pādatala,nt,sole of the foot
45578,pāpa 3,nt,evil action (in); crime (in); sin (in); wrongdoing (in); misdeed (in)
46721,puna,ind,again; once more
46798,pupphabhāṇī,adj,who speaks the truth
47108,purisuttama,masc,best of men; highest of men; ultimate man; epithet of the Buddha
47762,phusati 1,pr,touches; contacts; feels; experiences
47860,bajjhati 1,pr,is bound (by); is tied up (by); is caught (by); is imprisoned (by)
48332,bāhiya,masc,name of an ascetic; great disciple of the Buddha; foremost disciple in quick realization; Bāhiya Dārucīriya
48535,buddhaputta,masc,son of the Buddha; child of the Buddha; disciple of an awakened one
49213,bhaññamāna 1,prp,being spoken; being told; being mentioned
49820,bhāvayati,pr,cultivates; develops
49825,bhāvaye,opt,should cultivate; should develop
50148,bhūta 01,pp,existing; born; living
50208,bhūmi 1,fem,earth; ground
50419,bhottukamyatā,fem,desire to eat; wish to eat
51059,madhubhāṇī,adj,who talks sweetly; honey-tongued; who abstains from harsh speech
52286,mānasa 2,nt,mind; heart; mentality; intention
53049,musā 2,ind,falsely; untruthfully
53198,metta 1,adj,friendly; benevolent; kind
53579,yathāakusalaṃ,ind,so unskilfully; so wrongly
53641,yathābālaṃ,ind,so foolishly; so stupidly
53665,yathāmūḷhaṃ,ind,so misguidedly; so stupidly; so foolishly
55134,ruppanta,prp,being hurt; being oppressed; suffering
55987,lokanātha,masc,saviour of the world; protector of the planet
57513,saṇikaṃ,ind,slowly; gradually
58946,sabbaloka,masc,whole world; entire universe; all the world; every world
58980,sabbaso 1,ind,in every way; entirely; completely; altogether
59020,sabbāvant,adj,entire; whole; complete
59336,samanugāhiyamāna,prp,being closely questioned (by); being interrogated (by); being pressed (by)
59362,samanubhāsiyamāna,prp,being admonished; being sternly advised (by someone about something)
59376,samanuyuñjiyamāna,prp,being cross-questioned; being cross-examined (by someone about something)
59524,samaṃ 1,ind,evenly; equally
59555,samācāra,masc,conduct; behaviour; activity
59663,samādhiyati,pr,is calmed (for); becomes collected (for); becomes composed (for); becomes stable (for)
59846,samitatta,nt,calmness; peacefulness; fact of tranquility (of)
60162,sameti 1.1,pr,calms down; settles; stills; makes subside
60634,sambhava 1.1,masc,birth; origin; source (of)
61203,sallaviddha,adj,pierced by an arrow
61425,sahasā 2,ind,rashly; in haste
61925,saṃvijjamāna,prp,existing (in); being found (in)
63090,sīghaṃ,ind,quickly; swiftly; rapidly
63986,sunakkhatta 2,masc,name of a former monk
64069,supatiṭṭhita 1,adj,well placed; well allocated (in)
64100,supita,nt,sleep
64330,suyyati,pr,is heard
66230,vanta 1,pp,vomited; purged
66449,vasati 1,pr,lives; stays; resides (in)
66779,vāda 4,masc,saying; mentioning
68112,vinassati 1,pr,perishes; is destroyed
68701,vimucci,aor,became free (from); was released (from); was liberated (from)
70409,veyyākaraṇa 1,nt,answer; reply
70422,vera,nt,hatred; ill-will; animosity; antagonism; hostility
70769,haññati 2,pr,is hurt; is killed; is destroyed
71388,huraṃ 1,ind,there; in another world
77098,care 2.1,opt,should go (among); should walk (in)
77794,yato tato,idiom,because… therefore; since… thereby
