id,pali,pos,meaning
1,a 1.1,letter,(gram) letter a; 1st letter of the alphabet; guttural vowel
670,aggiparicārika,masc,fire worshipper; attendant of the sacred fire
909,acelaka,masc,naked ascetic
1227,ajjatagge,ind,from today onwards
2070,atikkamati 3,pr,passes by; goes past
2202,atipātī 1,adj,attacking; harming; killing
2605,attha 3.1,masc,home; rest; shelter
2631,atthaṅgama 1,masc,disappearance (of); vanishing (of); settling down (of); subsiding (of); passing away (of)
2714,atthavādī 1,adj,who speaks what is beneficial; who says what is meaningful
2901,adinnādāyī 1,adj,who steals; who takes what is not offered
2909,adukkha,adj,comfortable; free from trouble; without suffering; pain-free
3104,adhikaraṇa 1,nt,(vinaya) issue; legal action; disciplinary proceedings
4341,anukampī,adj,caring; compassionate; sympathetic; concerned (for)
6195,apadisitabba,ptp,should be referred to; should be claimed as; to be pointed to
7422,abyāpanna,pp,without ill-will; not malicious; without hate
7424,abyāpannacitta,adj,with a kind mind
7665,abhijjhālu,adj,covetous; avaricious; greedy
9780,asukha 1,adj,without ease; without comfort; not pleasant
10122,assosi,aor,heard
11524,ādāya 3,ger,holding; carrying; having; with
11528,ādāyī,adj,taking; receiving; accepting
13698,idhassa,sandhi,here could be; there might be
14080,ukkoṭeti,pr,(of legal case) re-opens
14929,udakorohaka,masc,bather; ritual bather
15149,uddesa 6,adj,destined for
15175,uddhacca,nt,agitation; restlessness; distraction; excitement
15993,uparipabbata,masc,top of a mountain; mountain peak
16460,upekkhāsatipārisuddhi,adj,which possesses purification of awareness by equanimity; (or) with purity of equanimity and mindfulness
17657,ekasāṭaka 1,masc,ascetic wearing a loin-cloth; one robe ascetic
18892,orohaka,masc,who descends; descender; who plunges into
19135,ohita 2,pp,deposited; hidden; confined within
19271,kaccha 1.3,masc,armpit hair
19862,kathābāhulla,nt,excess of speech; over-abundance of talk
19998,kandarā,fem,grotto; gorge; gulley; valley; ravine
20182,kamaṇḍaluka,adj,carrying water-pitchers
21127,kāmesumicchācārī,adj,adulterous; who engages in sexual misconduct
21448,kālavādī,adj,who speaks at the proper time
23162,kosa 1.4,masc,sheath; cocoon
23221,kosohita,adj,sheathed; enclosed
23662,khārivividha,nt,assortment of bundles on a pole; bundles of personal belongings on a pole
23663,khārivividhamādāya,sandhi,carrying an assortment of bundles on a pole; carrying bundles of personal belongings on a pole
23880,khetta 1,nt,field; plot of land
25120,guyha 1,ptp,should be hidden (in); should be concealed (in)
27183,ceva 4,sandhi,and just
27832,jaṭila,masc,dreadlocked ascetic
28509,jivhatā,fem,fact of having a tongue
28568,jīva 2,nt,life
30508,tiṇa 2,nt,weed
30532,tiṇadosa,adj,ruined by weeds; spoiled by weeds
31319,tesāhaṃ,sandhi,their I; I of them; to them I; for them I
31531,thulla 1,adj,big; fat
31543,thullaphusitaka 1,nt,big fat droplet
31948,dabbī,fem,spoon; wooden spoon; ladle
32108,dassana 3,nt,insight; realization; spiritual vision
32483,diṭṭhika,adj,having views; believing in; holding opinions
