id,pali,pos,meaning
1377,ajjhupagata 1,pp,arrived (at); reached; come to; entered; become
4292,anīgha 1,adj,untroubled; undisturbed; calm
5097,anuyoga 1,masc,praxis (of); practice (of); devotion (to); pursuit (of); doing (of)
5359,anussāvesi,aor,announced (to); proclaimed (to)
6786,appaccuddhāraṇaṃ,ind,(vinaya) not withdrawing (the assignment)
10771,avecca 1,ind,perfectly; absolutely; (comm) having gone deeply with wisdom
10777,aveccappasāda,masc,faith founded in understanding; epithet of stream entry
10949,aho vata re,idiom,(expressing contempt) oh aren't you a!; you're a fine example of!
10951,aho 2.1,ind,"(expressing pleasure, surprise or disbelief) oh!; wow!"
12131,āmisadāyāda,masc,material heir; inheritor of worldly things
12585,āroha 1,masc,rider; driver
13835,iriyā 1,fem,posture; deportment
13839,iriyāpatha 2,masc,"posture; pose; deportment; (specifically) walking, standing, sitting, and lying down"
18849,orasa 1,adj,(of a child) natural; legitimate; own
19512,kaṇṇa 1,masc,ear
19544,kaṇṇasukha,adj,easy on the ear; pleasant to hear
19996,kandaraka,masc,name of a wandering ascetic
21255,kāyavūpakāsa,masc,physical seclusion; bodily isolation
21584,kāḷī 3,fem,name of Mahāmoggallāna's sister in a previous incarnation
22677,kusāvatī,fem,name of the royal capital of king Mahāsudassana
24187,gata 4,nt,going; walking
26419,cātummahārājika 1,adj,of the Four Great Kings
26667,cittavūpakāsa,masc,mental seclusion; mental isolation
28160,jāgariya,nt,being awake; wakefulness; lucidity
28223,jātijarā,fem,birth and old age; being born and ageing
28231,jātijarāmaraṇiya,adj,leading to birth old age and death
28968,ñū 2,adj,knowing; familiar with; understanding; recognizing
30386,tāvatiṃsa 1,adj,belonging to the (Heaven of the) Thirty Three
31275,tela,nt,(sesame) oil
31284,teladhārā,fem,stream of oil
31325,tevijjaka,adj,related to the three Vedas
32976,dukkhavipāka,adj,resulting in suffering; with painful results
33930,dūsī 2,masc,name of a Māra; previous incarnation of Mahāmoggallāna
34300,dvaya 1,adj,twofold; dual; double
34699,dhammaja,adj,born from Dhamma; born of the teaching
34728,dhammadāyāda,adj,spiritual heir; inheritor of the Dhamma
