id,pali,selected_pali_word,class_source,extra,class_example,english_translation
929,accagamā 1,accagamā,AN9.11,yes,"taggha taṃ, bhikkhu, accayo <b>accagamā</b> yathābālaṃ yathāmūḷhaṃ yathāakusalaṃ, yo tvaṃ sāriputtaṃ asatā tucchā musā abhūtena abbhācikkhi","O monk, truly you are at fault, you who so foolishly, so misguidedly, unjustly, baselessly, untruthfully and falsely slandered Sāriputta."
1546,aññathā 1,aññathā,TH257 (simpl),yes,"aññathā lokanāthamhi, tiṭṭhante puris'uttame. iriyā āsi bhikkhūnaṃ, <b>aññathā</b> dāni dissati.","It was different when the Protector of the world, the supreme man, was still alive. Conduct of the monks was different; now [it] is seen [to be] otherwise."
1969,aṇu 1,aṇuṃ,DHP265,yes,"yo ca sameti pāpāni, <b>aṇuṃ</b> thūlāni sabbaso, samitattā hi pāpānaṃ, samaṇo'ti pavuccati.","He [is one] who makes subside evil deeds, [both] miniscule and large; because of the subsiding completely of evil deeds, he is indeed called ""an ascetic."""
2881,adiṭṭha 1.1,,,,,
3017,addhāna 2,addhānaṃ,SN22.79,,ahaṃ kho eta'r'ahi rūpena khajjāmi. atītam'p'āhaṃ <b>addhānaṃ</b> evam'eva rūpena khajjiṃ,"Right now, I am truly being eaten by matter. In the past, I was also eaten by matter in the same way [as] at [this] time."
3414,adho 1,,,,,
4811,anupādāya,anupādāya,SN22.59,,imasmiṃ ca pana veyyākaraṇasmiṃ bhaññamāne pañcavaggiyānaṃ bhikkhūnaṃ <b>anupādāya</b> āsavehi cittāni vimucciṃsū'ti.,"""And so, while this detailed exposition was being spoken, the minds of the group of five monks, by not grasping, were freed from taints."""
6387,aparimāṇa 1,aparimāṇaṃ,SNP8,yes,"mettaṃ ca sabbalokasmiṃ, mānasaṃ bhāvaye <b>aparimāṇaṃ</b>; uddhaṃ adho ca tiriyaṃ ca, asambādhaṃ, averaṃ, asapattaṃ.","One should cultivate a measureless and friendly mind for the entire world. Above, below and across; unobstructed, without enmity, without adversary."
7301,abbhācikkhi,abbhācikkhi,AN9.11,yes,"taggha taṃ, bhikkhu, accayo accagamā yathābālaṃ yathāmūḷhaṃ yathāakusalaṃ, yo tvaṃ sāriputtaṃ asatā tucchā musā abhūtena <b>abbhācikkhi</b>","O monk, truly you are at fault, you who so foolishly, so misguidedly, unjustly, baselessly, untruthfully and falsely slandered Sāriputta."
7710,abhiṇhaṃ,abhiṇhaṃ,SNP23,,bhagavā āyasmantaṃ rāhulaṃ imāhi gāthāhi <b>abhiṇhaṃ</b> ovadatī'ti,The Blessed One frequently advises Venerable Rāhula with these verses.
7849,abhinipphādeti,abhinipphādeyya,VIN PAT NP 10,yes,"catukkhattuṃ pañcakkhattuṃ chakkhattuṃ paramaṃ tuṇhībhūto uddissa tiṭṭhamāno taṃ cīvaraṃ <b>abhinipphādeyya</b>, iccetaṃ kusalaṃ","[If after] (a monk) standing silently for the sake of [it] four times, five times, six times at the most, (a helper) should come up with that robe cloth, that is good."
7919,abhinivissa,abhinivissa,MN22,,evam'pi kho bhikkhu tehi bhikkhūhi samanuyuñjiyamāno samanugāhiyamāno samanubhāsiyamāno taṃ eva pāpakaṃ diṭṭhigataṃ thāmasā parāmāsā <b>abhinivissa</b> voharati,"Similarly, a monk being cross-questioned, interrogated, admonished by those monks, speaks adhering to that very wrong view, obstinately and with attachment."
8419,abhūtena,abhūtena,AN9.11,no,"taggha taṃ, bhikkhu, accayo accagamā yathābālaṃ yathāmūḷhaṃ yathāakusalaṃ, yo tvaṃ sāriputtaṃ asatā tucchā musā <b>abhūtena</b> abbhācikkhi","O monk, truly you are at fault, you who so foolishly, so misguidedly, unjustly, baselessly, untruthfully and falsely slandered Sāriputta."
9388,asatā 1,asatā,AN9.11,yes,"taggha taṃ, bhikkhu, accayo accagamā yathābālaṃ yathāmūḷhaṃ yathāakusalaṃ, yo tvaṃ sāriputtaṃ <b>asatā</b> tucchā musā abhūtena abbhācikkhi","O monk, truly you are at fault, you who so foolishly, so misguidedly, unjustly, baselessly, untruthfully and falsely slandered Sāriputta."
9467,asapatta,asapattaṃ,SNP8,yes,"mettaṃ ca sabbalokasmiṃ, mānasaṃ bhāvaye aparimāṇaṃ; uddhaṃ adho ca tiriyaṃ ca, asambādhaṃ, averaṃ, <b>asapattaṃ</b>.","One should cultivate a measureless and friendly mind for the entire world. Above, below and across; unobstructed, without enmity, without adversary."
9569,asambādhaṃ,asambādhaṃ,SNP8,yes,"mettaṃ ca sabbalokasmiṃ, mānasaṃ bhāvaye aparimāṇaṃ; uddhaṃ adho ca tiriyaṃ ca, <b>asambādhaṃ</b>, averaṃ, asapattaṃ.","One should cultivate a measureless and friendly mind for the entire world. Above, below and across; unobstructed, without enmity, without adversary."
10593,avidūre,avidūre,SNP8 (simpl),yes,"diṭṭhā vā ye ca adiṭṭhā, ye сa dūre vasanti <b>avidūre</b>, bhūtā vā sambhavaṃ esī vā.","Those that are seen or unseen and those that live far away or near, [those] [who] have been born or [those] seeking existence."
10736,avītarāga,avītarāge,MN75,,aññe satte passāmi kāmesu <b>avītarāge</b> kāmataṇhāhi khajjamāne kāmapariḷāhena pariḍayhamāne kāme paṭisevante.,"I see other living beings not free from desire in regard to sensual pleasures, being devoured by cravings for sensual pleasures, being tormented by a burning passion for sensual objects, indulging in sensual pleasures."
10788,avera 1,averaṃ,SNP8,yes,"mettaṃ ca sabbalokasmiṃ, mānasaṃ bhāvaye aparimāṇaṃ; uddhaṃ adho ca tiriyaṃ ca, asambādhaṃ, <b>averaṃ</b>, asapattaṃ.","One should cultivate a measureless and friendly mind for the entire world. Above, below and across; unobstructed, without enmity, without adversary."
13344,iccetaṃ kusalaṃ,iccetaṃ kusalaṃ,VIN PAT NP 10,yes,"catukkhattuṃ pañcakkhattuṃ chakkhattuṃ paramaṃ tuṇhībhūto uddissa tiṭṭhamāno taṃ cīvaraṃ abhinipphādeyya, <b>iccetaṃ kusalaṃ</b>","[If after] (a monk) standing silently for the sake of [it] four times, five times, six times at the most, (a helper) should come up with that robe cloth, that is good."
