id,pali,selected_pali_word,class_source,extra,class_example,english_translation
97,akampi,akampitthāti,AN3.125,,imasmiñca pana veyyākaraṇasmiṃ bhaññamāne sahassī lokadhātu <b>akampitthāti</b>.,"“And when this explanation was being spoken, the one-thousand-world system shook.”"
231,akuppa 1,akuppā,MN30,yes,"akuppā cetovimutti - etad'attham'idaṃ, brāhmaṇa, brahmacariyaṃ","Unshakable mental liberation, brahmin, - this holy life [has] that as a goal."
2717,atthaveda,atthavedaṃ,MN33,,"idha, bhikkhave, bhikkhu tathāgatappavedite dhammavinaye desiyamāne na labhati <b>atthavedaṃ</b>, na labhati dhammavedaṃ, na labhati dhammūpasaṃhitaṃ pāmojjaṃ.","Monks, in this case, when the doctrine and discipline declared by the Buddha is being preached, monk does not get inspiration from the meaning, he does not get inspiration from the teaching, he does not get the happiness connected with the teaching."
4053,anāsava 1,anāsavaṃ,AN3.24,,puggalo āsavānaṃ khayā <b>anāsavaṃ</b> cetovimuttiṃ paññāvimuttiṃ diṭṭh'eva dhamme sayaṃ abhiññā sacchikatvā upasampajja viharati,"With the exhaustion of the taints, an individual, having personally experienced in this life directly knowing by himself the liberation of the mind without taints, liberation by wisdom, dwells having reached [this state]."
5694,antaradhāyati,antaradhāyissati,AN6.62,,"seyyathāpi vā panānanda, rattiyā paccūsasamayaṃ sūriye uggacchante, jāneyyāsi tvaṃ, ānanda, andhakāro <b>antaradhāyissati</b>, āloko pātubhavissatī”ti?","Just like Ananda, in the early dawn time of night, when the sun is rising, you would know, Ananda, “Darkness will disappear (and) light will appear.”"
5898,andhakāra 1,andhakāro,AN6.62,,"seyyathāpi vā panānanda, rattiyā paccūsasamayaṃ sūriye uggacchante, jāneyyāsi tvaṃ, ānanda, <b>andhakāro</b> antaradhāyissati, āloko pātubhavissatī”ti?","Just like Ananda, in the early dawn time of night, when the sun is rising, you would know, Ananda, “Darkness will disappear (and) light will appear.”"
6020,apakkanta,apakkantā,MN70,yes,"kīva dūr'ev'ime, bhikkhave, moghapurisā <b>apakkantā</b> imamhā dhammavinayā.",Just how far are these foolish men who have departed from this doctrine and discipline?
6782,appaccaya 1.2,appaccayañca,AN5.157,,"dussīlo, bhikkhave, sīlakathāya kacchamānāya abhisajjati kuppati byāpajjati patitthīyati kopañca dosañca <b>appaccayañca</b> pātukaroti.","When talk about morality is being spoken, an immoral person curses, gets angry and is obstinate; he displays anger, ill will and outrage."
7103,appiccha,app'icchā,VIN1.1.2,yes,ye te bhikkhū <b>app'icchā</b> santuṭṭhā lajjino kukkuccakā sikkhākāmā te ujjhāyanti khiyyanti vipācenti,"Those monks who are of few wishes, content, conscientious, scrupulous, [and] desiring training, find fault, criticise and discuss widely [about Venerable Dhaniya]. (source text uses past tense)"
8165,abhisajjati 2.1,abhisajjati,AN5.157,,"dussīlo, bhikkhave, sīlakathāya kacchamānāya <b>abhisajjati</b> kuppati byāpajjati patitthīyati kopañca dosañca appaccayañca pātukaroti.","When talk about morality is being spoken, an immoral person curses, gets angry and is obstinate; he displays anger, ill will and outrage."
8190,abhisanda,abhisando,SN55.31,,ayaṃ paṭhamo puññ'<b>ābhisando</b> kusal'ābhisando sukhass'āhāro.,"This is the first outflow of merit, [the first] outflow of wholesome, [which is] a cause (or nutriment) for comfort."
8454,amata 1.1,amat'ogadhā,AN10.58,,"sat'ādhipateyyā sabbe dhammā, paññ'uttarā sabbe dhammā, vimuttisārā sabbe dhammā, <b>amat'ogadhā</b> sabbe dhammā, nibbānapariyosānā sabbe dhammā'ti","“All things are governed by mindfulness, all things have understanding as (their) highest, all things have liberation as [their] core, all things are plunged into the deathless, all things are culminating in extinguishment.”"
8482,amatogadha,amat'ogadhā,AN10.58,,"sat'ādhipateyyā sabbe dhammā, paññ'uttarā sabbe dhammā, vimuttisārā sabbe dhammā, <b>amat'ogadhā</b> sabbe dhammā, nibbānapariyosānā sabbe dhammā'ti","“All things are governed by mindfulness, all things have understanding as (their) highest, all things have liberation as [their] core, all things are plunged into the deathless, all things are culminating in extinguishment.”"
