id,pali,selected_pali_word,class_source,extra,class_example,english_translation
192,akiñcana,akiñcano,DHP88,yes,"tatra abhiratiṃ iccheyya, hitvā kāme <b>akiñcano</b>, pariyodapeyya attānaṃ, cittaklesehi paṇḍito.","A wise person, possession-less, would wish for pleasure in that place, having abandoned sensual pleasures, he would purify himself from mental defilements."
246,akusala 3,akusalehi,MN39,,"vivicca kāmehi vivicca <b>akusalehi</b> dhammehi, paṭhamaṃ jhānaṃ upasampajja viharati","Having separated from sense pleasures and unwholesome mental states, he arrives at the first stage of meditation and remains there."
527,agāra 2,agārasmā,MN27 (simpl),,yan'nūn'āhaṃ kesamassuṃ ohāretvā kāsāyāni vatthāni acchādetvā <b>agārasmā</b> anagāriyaṃ pabbajeyyāmi,"Having shaved hair and beard, and having clothed myself in brown robes, let me go forth from the household life to homelessness. [What if I shave hair and beard, clothe myself in brown robes and go forth?]"
533,agārasmā anagāriyaṃ pabbajati,agārasmā anagāriyaṃ pabbajeyyāmi,MN27 (simpl),,yan'nūn'āhaṃ kesamassuṃ ohāretvā kāsāyāni vatthāni acchādetvā <b>agārasmā anagāriyaṃ pabbajeyyāmi</b>,"Having shaved hair and beard, and having clothed myself in brown robes, let me go forth from the household life to homelessness. [What if I shave hair and beard, clothe myself in brown robes and go forth?]"
970,accādhāya,accādhāya,MN107,,rattiyā majjhimaṃ yāmaṃ dakkhiṇena passena sīhaseyyaṃ kappeyyāsi pāde pādaṃ <b>accādhāya</b> sato sampajāno uṭṭhānasaññaṃ manasikaritvā,"In the middle watch of the night, you should make the lion's pose, [lying] on the right flank, placing [one] foot on the [other] foot, mindful, fully knowing, having noted in the mind the wake-up time."
1068,acchādetvā,acchādetvā,MN27 (simpl),,yan'nūn'āhaṃ kesamassuṃ ohāretvā kāsāyāni vatthāni <b>acchādetvā</b> agārasmā anagāriyaṃ pabbajeyyāmi,"Having shaved hair and beard, and having clothed myself in brown robes, let me go forth from the household life to homelessness. [What if I shave hair and beard, clothe myself in brown robes and go forth?]"
1478,añjali 1,añjaliṃ,UD45,,āyasmā ānando uṭṭhāya āsanā ekaṃsaṃ uttarāsaṅgaṃ karitvā yena bhagavā ten<b>añjaliṃ</b> paṇāmetvā bhagavantaṃ etadavoca.,"Venerable Ananda, rising from his seat and adjusting his upper robe over one shoulder, stretched out his palms towards the Blessed One and said this."
1497,añña 1.1,aññaṃ,SN12.61,,seyyathāpi makkaṭo araññe sākhaṃ gaṇhati taṃ muñcitvā <b>aññaṃ</b> gaṇhati taṃ muñcitvā aññaṃ gaṇhati,"Just like a monkey in the forest [who] grabs hold of a branch, releases it, then grabs hold of another and after releasing it, grabs hold of another."
1507,aññatara 1,aññataro,AN2.16,,atha kho <b>aññataro</b> brāhmaṇo yena bhagavā tena upasaṅkami. upasaṅkamitvā bhagavatā saddhiṃ sammodi,"After that, a certain brahmin approached the Blessed One. Having approached, he exchanged pleasantries with the Blessed One."
1977,aṇumatta,aṇumatto,DHP284,yes,"yāva hi vanatho na chijjati, <b>aṇumatto</b> api narassa nārīsu, paṭibaddhamano eva tāva so, vaccho khīrapako va mātari.","Indeed, as long as desire is not cut off, even the smallest, of a man enamoured with regard to women, just to that extent he [is] like a suckling calf towards [its] mother."
