id,pali,selected_pali_word,class_source,extra,class_example,english_translation
965,accasarā,accasarā,SN11.24,,"tena kho pana samayena dve bhikkhū sampayojesuṃ, tatreko bhikkhu <b>accasarā</b>, atha kho so bhikkhu tassa bhikkhuno santike accayaṃ accayato deseti, so bhikkhu nappaṭiggaṇhāti.","And at that time two monks quarreled. There, one monk transgressed. Then that monk confessed his fault to that other monk, but that monk did not accept (his apology)."
1258,ajjhagā,ajjhagā,SNP13,,"khayaṃ virāgaṃ amataṃ paṇītaṃ, yad<b>ajjhagā</b> sakyamunī samāhito.","The wearing away, the dispassion, the deathless, the sublime (or sublime deathless) which the concentrated Sakyan sage attained…"
1642,aññāya 1,,,,,
1701,aṭṭīyati,aṭṭīyeyyaṃ,AN3.39,,ahañceva kho pana jarādhammo samāno jaraṃ anatīto paraṃ jiṇṇaṃ disvā <b>aṭṭīyeyyaṃ</b> harāyeyyaṃ jiguccheyyaṃ na metaṃ assa patirūpan'ti.,"“And if I, being of a nature to get old, who is not exempt from old age, would see another old person and would become troubled, ashamed and disgusted, that would not be suitable for me”."
1702,aṭṭīyati harāyati jigucchati,aṭṭīyeyyaṃ harāyeyyaṃ jiguccheyyaṃ,AN3.39,,"“And if I, being of a nature to get old, who is not exempt from old age, would see another old person and would become <b>aṭṭīyeyyaṃ harāyeyyaṃ jiguccheyyaṃ</b>, that would not be suitable for me”.","“And if I, being of a nature to get old, who is not exempt from old age, would see another old person and would become troubled, ashamed and disgusted, that would not be suitable for me”."
2738,atthi 2.1,atthi,SNP70,,"evaṃ abhikkantadassāviṃ, <b>atthi</b> pañhena āgamaṃ, kathaṃ lokaṃ avekkhantaṃ, maccurājā na passati.","I myself, a seeker, have come to [the one] of such excellent vision, with a question. How is one viewing the world [and] the king of death does not see [him]?"
2856,adassana 4,adassanaṃ,UD5.10,,"ṭhitena kāyena ṭhitena cetasā, tiṭṭhaṃ nisinno uda vā sayāno, etaṃ satiṃ bhikkhu adhiṭṭhahāno, labhetha pubbāpariyaṃ visesaṃ, laddhāna pubbāpariyaṃ visesaṃ, <b>adassanaṃ</b> maccurājassa gacche'ti.","With stationary body, with stationary mind, standing or sitting or lying down, a monk focusing on this mindfulness, could get successive attainments, having obtained successive attainments, he could go out of the king of death's sight."
2975,addasā,addasā,UD5.10,,<b>addasā</b> kho bhagavā āyasmantaṃ cūḷapanthakaṃ avidūre nisinnaṃ pallaṅkaṃ ābhujitvā ujuṃ kāyaṃ paṇidhāya parimukhaṃ satiṃ upaṭṭhapetvā.,"The Blessed One saw Venerable Cūḷapanthaka seated nearby, having folded (his legs) into sitting posture, directing his body upright, having set up mindfulness to the fore."
3199,adhiṭṭhahāna,adhiṭṭhahāno,UD5.10,,"ṭhitena kāyena ṭhitena cetasā, tiṭṭhaṃ nisinno uda vā sayāno, etaṃ satiṃ bhikkhu <b>adhiṭṭhahāno</b>, labhetha pubbāpariyaṃ visesaṃ, laddhāna pubbāpariyaṃ visesaṃ, adassanaṃ maccurājassa gacche'ti.","With stationary body, with stationary mind, standing or sitting or lying down, a monk focusing on this mindfulness, could get successive attainments, having obtained successive attainments, he could go out of the king of death's sight."
3815,anariya 1,anariyadhammaṃ,SNP41,,"yo attano sīlavatāni jantu, anānupuṭṭho'va paresa pāva, <b>anariyadhammaṃ</b> kusalā tam'āhu, yo ātumānaṃ sayam'eva pāva.","A person who, unasked, boasts to others about his virtues and practices, the skillful ones call him [one of] ignoble nature, who boasts about himself just on his own accord."
3818,anariyadhamma,anariyadhammaṃ,SNP41,,"yo attano sīlavatāni jantu, anānupuṭṭho'va paresa pāva, <b>anariyadhammaṃ</b> kusalā tam'āhu, yo ātumānaṃ sayam'eva pāva.","A person who, unasked, boasts to others about his virtues and practices, the skillful ones call him [one of] ignoble nature, who boasts about himself just on his own accord."
3977,anānupuṭṭha,anānupuṭṭho'va,SNP41,,"yo attano sīlavatāni jantu, <b>anānupuṭṭho'va</b> paresa pāva, anariyadhammaṃ kusalā tam'āhu, yo ātumānaṃ sayam'eva pāva.","A person who, unasked, boasts to others about his virtues and practices, the skillful ones call him [one of] ignoble nature, who boasts about himself just on his own accord."
6763,appa 2,appaṃ,TH251,yes,"na dīgham'āyuṃ labhate dhanena, na c'āpi vittena jaraṃ vihanti.  <b>appaṃ</b> h'idaṃ jīvitam'āhu dhīrā, asassataṃ vippariṇāmadhammaṃ.","Not by means of wealth does one get oneself a long life and not even by means of possessions does one banish old age. The sages say this life is indeed short, not eternal, and having the nature of changing (i.e. is changeable in nature)."
7133,appevanāma,appevanām'imassa,MN79,,appevanām'imassa kevalassa dukkhakkhandhassa antakiriyā paññāyethā'ti,“If only the destruction of this whole mass of suffering would be apparent. (lit. make itself known)”
7553,abhikkanta 1,abhikkantadassāviṃ,SNP70,,"evaṃ <b>abhikkantadassāviṃ</b>, atthi pañhena āgamaṃ, kathaṃ lokaṃ avekkhantaṃ, maccurājā na passati.","I myself, a seeker, have come to [the one] of such excellent vision, with a question. How is one viewing the world [and] the king of death does not see [him]?"
7557,abhikkantadassāvī,abhikkantadassāviṃ,SNP70,,"evaṃ <b>abhikkantadassāviṃ</b>, atthi pañhena āgamaṃ, kathaṃ lokaṃ avekkhantaṃ, maccurājā na passati.","I myself, a seeker, have come to [the one] of such excellent vision, with a question. How is one viewing the world [and] the king of death does not see [him]?"
9614,asassata,asassataṃ,TH251,yes,"appaṃ h'idaṃ jīvitam'āhu dhīrā, <b>asassataṃ</b> vippariṇāmadhammaṃ.","The sages say this life is indeed short, not eternal, and having the nature of changing (i.e. is changeable in nature)."
10660,avirujjhamāna,avirujjhamānā,SNP46,yes,"visenikatvā pana ye caranti, diṭṭhīhi diṭṭhiṃ <b>avirujjhamānā</b>, tesu tvaṃ kiṃ labhetho pasūra, yesīdha natthī paramuggahītaṃ.","They wander around without an army, not opposing a view with views. In them, what could you get yourself, Pasura, in whom there is nothing grasped as the highest."
10764,avekkhanta,avekkhantaṃ,SNP70,,"evaṃ abhikkantadassāviṃ, atthi pañhena āgamaṃ, kathaṃ lokaṃ <b>avekkhantaṃ</b>, maccurājā na passati.","I myself, a seeker, have come to [the one] of such excellent vision, with a question. How is one viewing the world [and] the king of death does not see [him]?"
10841,ahañceva 1,ahañceva,AN3.39,,<b>ahañceva</b> kho pana jarādhammo samāno jaraṃ anatīto paraṃ jiṇṇaṃ disvā aṭṭīyeyyaṃ harāyeyyaṃ jiguccheyyaṃ na metaṃ assa patirūpan'ti.,"“And if I, being of a nature to get old, who is not exempt from old age, would see another old person and would become troubled, ashamed and disgusted, that would not be suitable for me”."
11105,ākirati 1,ākirate,SN2.8,yes,"sithilo hi paribbājo, bhiyyo <b>ākirate</b> rajaṃ.",A wandering monk [who is] lax would certainly stir up for himself more dirt.
11206,āgamaṃ,āgamaṃ,SNP70,,"evaṃ abhikkantadassāviṃ, atthi pañhena <b>āgamaṃ</b>, kathaṃ lokaṃ avekkhantaṃ, maccurājā na passati.","I myself, a seeker, have come to [the one] of such excellent vision, with a question. How is one viewing the world [and] the king of death does not see [him]?"
11207,āgamā 1,āgamā,AN4.67,,"sabbe sattā sabbe pāṇā, sabbe bhūtā ca kevalā.  sabbe bhadrāni passantu, mā kiñci pāpam'<b>āgamā</b>.","May all creatures, all living beings, all existing entities, all of them, may they all encounter good fortune and may not any evil come to (them)."
11477,ātuma 1,ātumānaṃ,SNP41,,"yo attano sīlavatāni jantu, anānupuṭṭho'va paresa pāva, anariyadhammaṃ kusalā tam'āhu, yo <b>ātumānaṃ</b> sayam'eva pāva.","A person who, unasked, boasts to others about his virtues and practices, the skillful ones call him [one of] ignoble nature, who boasts about himself just on his own accord."
11709,ānantarika 1,ānantarikañ'ñam'āhu,SNP13,,"yaṃ buddhaseṭṭho parivaṇṇayī suciṃ, samādhim'<b>ānantarikañ'ñam'āhu</b>.","The foremost Buddha extolled pure stillness of the mind, which they say with immediate results."
12279,āyu 1,āyuṃ,TH251,yes,"na dīgham'<b>āyuṃ</b> labhate dhanena, na c'āpi vittena jaraṃ vihanti.  appaṃ h'idaṃ jīvitam'āhu dhīrā, asassataṃ vippariṇāmadhammaṃ.","Not by means of wealth does one get oneself a long life and not even by means of possessions does one banish old age. The sages say this life is indeed short, not eternal, and having the nature of changing (i.e. is changeable in nature)."
13273,āhu,āhu,SNP13,,"yaṃ buddhaseṭṭho parivaṇṇayī suciṃ, samādhim'ānantarikañ'ñam'<b>āhu</b>.","The foremost Buddha extolled pure stillness of the mind, which they say with immediate results."
13334,iṅgha,iṅgha,AN10.44,,"""<b>iṅgha</b> tāva āyasmā kāyikaṃ sikkhassū""ti, iti'ssa bhavanti vattāro.","“Please, Venerable, first you must train yourself bodily”; there are those who speak thus to him."
13484,itissa 1,iti'ssa,AN10.44,,"""iṅgha tāva āyasmā kāyikaṃ sikkhassū""ti, <b>iti'ssa</b> bhavanti vattāro.","“Please, Venerable, first you must train yourself bodily”; there are those who speak thus to him."
13716,idheva,idheva,ITI87,,"tayo vitakke kusale vitakkaye, tayo pana akusale nirākare, sa ve vitakkāni vicāritāni, sameti vuṭṭhīva rajaṃ samūhataṃ, sa ve vitakkūpasamena cetasā, <b>idheva</b> so santipadaṃ samajjhagā'ti.","One should think three skilful thoughts, and one should reject three unskilful ones. One stills thoughts and plans, like the rain (stills) raised dust. With a mind with thought calmed, right here one has obtained that state of peace."
13795,imassa 2,imassa,MN79,,appevanām'<b>imassa</b> kevalassa dukkhakkhandhassa antakiriyā paññāyethā'ti,“If only the destruction of this whole mass of suffering would be apparent. (lit. make itself known)”
14829,uda vā,uda vā,UD5.10,,"ṭhitena kāyena ṭhitena cetasā, tiṭṭhaṃ nisinno <b>uda vā</b> sayāno, etaṃ satiṃ bhikkhu adhiṭṭhahāno, labhetha pubbāpariyaṃ visesaṃ, laddhāna pubbāpariyaṃ visesaṃ, adassanaṃ maccurājassa gacche'ti.","With stationary body, with stationary mind, standing or sitting or lying down, a monk focusing on this mindfulness, could get successive attainments, having obtained successive attainments, he could go out of the king of death's sight."
15468,upaccagā 1,upaccagā,SNP22,,"khaṇo vo mā <b>upaccagā</b>, khaṇ'ātītā hi socanti, nirayamhi samappitā.",Don't let the opportunity pass by; they who have missed the chance are consigned to hell [and] sorrow over [it].
19773,katthaci 1,katthaci,KHP9,,"na paro paraṃ nikubbetha, n'ātimaññetha <b>katthaci</b> naṃ kiñci, byārosanā paṭighasaññā, nāññamaññassa dukkhamiccheyya.","One should not cheat another, nor despise anywhere anyone, out of anger and dislike, one should not wish suffering for another."
20419,kayirā,kayirā,SN2.8,yes,"<b>kayirā</b> ce, kayirāth'enaṃ, daḷham'enaṃ parakkame.  sithilo hi paribbājo, bhiyyo ākirate rajaṃ.","If one should do (something), one should do (it) by oneself; one should undertake it vigorously. A wandering monk [who is] lax would certainly stir up for himself more dirt."
20420,kayirātha 1,kayirāth'enaṃ,SN2.8,yes,"kayirā ce, <b>kayirāth'enaṃ</b>, daḷham'enaṃ parakkame.  sithilo hi paribbājo, bhiyyo ākirate rajaṃ.","If one should do (something), one should do (it) by oneself; one should undertake it vigorously. A wandering monk [who is] lax would certainly stir up for himself more dirt."
20422,kayirāthenaṃ,kayirāth'enaṃ,SN2.8,yes,"kayirā ce, <b>kayirāth'enaṃ</b>, daḷham'enaṃ parakkame.  sithilo hi paribbājo, bhiyyo ākirate rajaṃ.","If one should do (something), one should do (it) by oneself; one should undertake it vigorously. A wandering monk [who is] lax would certainly stir up for himself more dirt."
21270,kāyika 1,kāyikaṃ,AN10.44,,"""iṅgha tāva āyasmā <b>kāyikaṃ</b> sikkhassū""ti, iti'ssa bhavanti vattāro.","“Please, Venerable, first you must train yourself bodily”; there are those who speak thus to him."
22379,kubbetha,kubbetha,SN1.31,,"sabbhireva samāsetha, sabbhi <b>kubbetha</b> santhavaṃ, sataṃ saddhammamaññāya, sattā gacchanti suggatin'ti.","One should associate oneself just with the virtuous, with the virtuous, one should be intimate, having understood the true teaching of the virtuous, beings go (on) to a good destination."
22661,kusalā,kusalā,SNP41,,"yo attano sīlavatāni jantu, anānupuṭṭho'va paresa pāva, anariyadhammaṃ <b>kusalā</b> tam'āhu, yo ātumānaṃ sayam'eva pāva.","A person who, unasked, boasts to others about his virtues and practices, the skillful ones call him [one of] ignoble nature, who boasts about himself just on his own accord."
23317,khaṇa,khaṇo,SNP22,,"<b>khaṇo</b> vo mā upaccagā, khaṇ'ātītā hi socanti, nirayamhi samappitā.",Don't let the opportunity pass by; they who have missed the chance are consigned to hell [and] sorrow over [it].
23324,khaṇātīta,khaṇ'ātītā,SNP22,,"khaṇo vo mā upaccagā, <b>khaṇ'ātītā</b> hi socanti, nirayamhi samappitā.",Don't let the opportunity pass by; they who have missed the chance are consigned to hell [and] sorrow over [it].
26444,cāpi,c'āpi,TH251,yes,"na dīgham'āyuṃ labhate dhanena, na <b>c'āpi</b> vittena jaraṃ vihanti.  appaṃ h'idaṃ jīvitam'āhu dhīrā, asassataṃ vippariṇāmadhammaṃ.","Not by means of wealth does one get oneself a long life and not even by means of possessions does one banish old age. The sages say this life is indeed short, not eternal, and having the nature of changing (i.e. is changeable in nature)."
26952,cūḷa,cūḷapanthakaṃ,UD5.10,,addasā kho bhagavā āyasmantaṃ <b>cūḷapanthakaṃ</b> avidūre nisinnaṃ pallaṅkaṃ ābhujitvā ujuṃ kāyaṃ paṇidhāya parimukhaṃ satiṃ upaṭṭhapetvā.,"The Blessed One saw Venerable Cūḷapanthaka seated nearby, having folded (his legs) into sitting posture, directing his body upright, having set up mindfulness to the fore."
26976,cūḷapanthaka,cūḷapanthakaṃ,UD5.10,,addasā kho bhagavā āyasmantaṃ <b>cūḷapanthakaṃ</b> avidūre nisinnaṃ pallaṅkaṃ ābhujitvā ujuṃ kāyaṃ paṇidhāya parimukhaṃ satiṃ upaṭṭhapetvā.,"The Blessed One saw Venerable Cūḷapanthaka seated nearby, having folded (his legs) into sitting posture, directing his body upright, having set up mindfulness to the fore."
27162,cedaṃ,cedaṃ,AN2.19,,"kusalaṃ, bhikkhave, bhāvetha. sakkā, bhikkhave, kusalaṃ bhāvetuṃ. no <b>cedaṃ</b>, bhikkhave, sakkā abhavissa kusalaṃ bhāvetuṃ, nāhaṃ evaṃ vadeyyaṃ, kusalaṃ, bhikkhave, bhāvethā'ti.","You all must develop skillful qualities (lit: the good), monks. It is possible to develop skillful qualities. If it would not be possible to develop skillful qualities, I myself would not say this, “Monks, develop skillful qualities.”"
27933,jantu 1,,,,,
28422,jigucchati 1,jiguccheyyaṃ,AN3.39,,ahañceva kho pana jarādhammo samāno jaraṃ anatīto paraṃ jiṇṇaṃ disvā aṭṭīyeyyaṃ harāyeyyaṃ <b>jiguccheyyaṃ</b> na metaṃ assa patirūpan'ti.,"“And if I, being of a nature to get old, who is not exempt from old age, would see another old person and would become troubled, ashamed and disgusted, that would not be suitable for me”."
28447,jiṇṇa 1,jiṇṇaṃ,AN3.39,,ahañceva kho pana jarādhammo samāno jaraṃ anatīto paraṃ <b>jiṇṇaṃ</b> disvā aṭṭīyeyyaṃ harāyeyyaṃ jiguccheyyaṃ na metaṃ assa patirūpan'ti.,"“And if I, being of a nature to get old, who is not exempt from old age, would see another old person and would become troubled, ashamed and disgusted, that would not be suitable for me”."
29642,tatreko,tatreko,SN11.24,,"tena kho pana samayena dve bhikkhū sampayojesuṃ, <b>tatreko</b> bhikkhu accasarā, atha kho so bhikkhu tassa bhikkhuno santike accayaṃ accayato deseti, so bhikkhu nappaṭiggaṇhāti.","And at that time two monks quarreled. There, one monk transgressed. Then that monk confessed his fault to that other monk, but that monk did not accept (his apology)."
30026,tamāhu,tam'āhu,SNP41,,"yo attano sīlavatāni jantu, anānupuṭṭho'va paresa pāva, anariyadhammaṃ kusalā <b>tam'āhu</b>, yo ātumānaṃ sayam'eva pāva.","A person who, unasked, boasts to others about his virtues and practices, the skillful ones call him [one of] ignoble nature, who boasts about himself just on his own accord."
32220,daḷhamenaṃ,daḷham'enaṃ,SN2.8,yes,"kayirā ce, kayirāth'enaṃ, <b>daḷham'enaṃ</b> parakkame.  sithilo hi paribbājo, bhiyyo ākirate rajaṃ.","If one should do (something), one should do (it) by oneself; one should undertake it vigorously. A wandering monk [who is] lax would certainly stir up for himself more dirt."
32223,daḷhaṃ,daḷham',SN2.8,yes,"kayirā ce, kayirāth'enaṃ, <b>daḷham'</b>enaṃ parakkame.  sithilo hi paribbājo, bhiyyo ākirate rajaṃ.","If one should do (something), one should do (it) by oneself; one should undertake it vigorously. A wandering monk [who is] lax would certainly stir up for himself more dirt."
32721,dīgha 1,dīgham,TH251,yes,"na <b>dīgham</b>'āyuṃ labhate dhanena, na c'āpi vittena jaraṃ vihanti.  appaṃ h'idaṃ jīvitam'āhu dhīrā, asassataṃ vippariṇāmadhammaṃ.","Not by means of wealth does one get oneself a long life and not even by means of possessions does one banish old age. The sages say this life is indeed short, not eternal, and having the nature of changing (i.e. is changeable in nature)."
32752,dīghamāyu,dīgham'āyuṃ,TH251,yes,"na <b>dīgham'āyuṃ</b> labhate dhanena, na c'āpi vittena jaraṃ vihanti.  appaṃ h'idaṃ jīvitam'āhu dhīrā, asassataṃ vippariṇāmadhammaṃ.","Not by means of wealth does one get oneself a long life and not even by means of possessions does one banish old age. The sages say this life is indeed short, not eternal, and having the nature of changing (i.e. is changeable in nature)."
32880,dukkhakkhandha,dukkhakkhandhassa,MN79,,appevanām'imassa kevalassa <b>dukkhakkhandhassa</b> antakiriyā paññāyethā'ti,“If only the destruction of this whole mass of suffering would be apparent. (lit. make itself known)”
32936,dukkhamicchati,dukkhamiccheyya,KHP9,,"na paro paraṃ nikubbetha, n'ātimaññetha katthaci naṃ kiñci, byārosanā paṭighasaññā, nāññamaññassa <b>dukkhamiccheyya</b>.","One should not cheat another, nor despise anywhere anyone, out of anger and dislike, one should not wish suffering for another."
35176,dhīra 2.2,dhīrā,TH251,yes,"na dīgham'āyuṃ labhate dhanena, na c'āpi vittena jaraṃ vihanti.  appaṃ h'idaṃ jīvitam'āhu <b>dhīrā</b>, asassataṃ vippariṇāmadhammaṃ.","Not by means of wealth does one get oneself a long life and not even by means of possessions does one banish old age. The sages say this life is indeed short, not eternal, and having the nature of changing (i.e. is changeable in nature)."
