id,pali,selected_pali_word,class_source,extra,class_example,english_translation
277,akuhaka,akuhako,SNP48,,"patilīno <b>akuhako</b>, apihālu amaccharī, appagabbho ajeguccho, pesuṇeyye ca no yuto.","Withdrawn, not deceitful, not envious, not selfish, courteous, honest, and he is not engaged in slander."
453,akhārika,akhārikehi,SN47.8,yes,"ambil'aggehi'pi, tittak'aggehi'pi, kaṭuk'aggehi'pi, madhur'aggehi'pi, khārikehi'pi, <b>akhārikehi</b>'pi, loṇikehi'pi, aloṇikehi'pi.","[Bhikkhus, suppose a foolish, incompetent, unskillful cook were to present a king or royal minister with various kinds of curries:] (ones) predominantly sour, predominantly bitter, predominantly pungent, predominantly sweet, alkaline, not alkaline, salty, not salty."
560,agga 1.2,aggehi,SN47.8,yes,"ambil'<b>aggehi</b>'pi, tittak'aggehi'pi, kaṭuk'aggehi'pi, madhur'aggehi'pi, khārikehi'pi, akhārikehi'pi, loṇikehi'pi, aloṇikehi'pi.","[Bhikkhus, suppose a foolish, incompetent, unskillful cook were to present a king or royal minister with various kinds of curries:] (ones) predominantly sour, predominantly bitter, predominantly pungent, predominantly sweet, alkaline, not alkaline, salty, not salty."
1213,ajeguccha 1,ajeguccho,SNP48,,"patilīno akuhako, apihālu amaccharī, appagabbho <b>ajeguccho</b>, pesuṇeyye ca no yuto.","Withdrawn, not deceitful, not envious, not selfish, courteous, honest, and he is not engaged in slander."
1228,ajjatana,ajjatanāmiva,DHP227,,"porāṇametaṃ atula, netaṃ <b>ajjatanāmiva</b>, nindanti tuṇhimāsīnaṃ, nindanti bahubhāṇinaṃ, mitabhāṇimpi nindanti, natthi loke anindito.","This is an ancient thing, Atula, not only related to the present. They blame one sitting silently, they blame one talking a lot, they blame one measured in speech. There is not (anyone) in the world not blamed."
1230,ajjatanāṃ,ajjatanāmiva,DHP227,,"porāṇametaṃ atula, netaṃ <b>ajjatanāmiva</b>, nindanti tuṇhimāsīnaṃ, nindanti bahubhāṇinaṃ, mitabhāṇimpi nindanti, natthi loke anindito.","This is an ancient thing, Atula, not only related to the present. They blame one sitting silently, they blame one talking a lot, they blame one measured in speech. There is not (anyone) in the world not blamed."
1618,aññātaka 1,aññātikāya,VIN PAT NP 5,,"yo pana bhikkhu <b>aññātikāya</b> bhikkhuniyā hatthato cīvaraṃ paṭiggaṇheyya, aññatra pārivattakā, nissaggiyaṃ pācittiyaṃ.","If any monk should accept a robe from the hand of a nun, not related by blood, except in an exchange, [it is] an offence requiring confession with forfeiture."
2427,atula 1,atula,DHP227,,"porāṇametaṃ <b>atula</b>, netaṃ ajjatanāmiva, nindanti tuṇhimāsīnaṃ, nindanti bahubhāṇinaṃ, mitabhāṇimpi nindanti, natthi loke anindito.","This is an ancient thing, Atula, not only related to the present. They blame one sitting silently, they blame one talking a lot, they blame one measured in speech. There is not (anyone) in the world not blamed."
2447,attakilamatha,attakilamath'ānuyogo,SN56.11,,yo c'āyaṃ <b>attakilamath'ānuyogo</b> dukkho anariyo anatthasañhito.,"…and this practice of self-mortification, which is painful, ignoble, [and] unbeneficial."
2448,attakilamathānuyoga,attakilamath'ānuyogo,SN56.11,,yo c'āyaṃ <b>attakilamath'ānuyogo</b> dukkho anariyo anatthasañhito.,"…and this practice of self-mortification, which is painful, ignoble, [and] unbeneficial."
