id,pali,selected_pali_word,class_source,extra,class_example,english_translation
167,akāla 3,akālapupphehi,DN16.27,,"sabbaphāliphullā kho, ānanda, yamakasālā <b>akālapupphehi</b>. te tathāgatassa sarīraṃ okiranti ajjhokiranti abhippakiranti tathāgatassa pūjāya.","Ananda, this pair of Sal tress is in full blossom with out of season flowers. They rain down, scatter down, completely cover the body of the Tathagata, in worship of the Tathagata."
172,akālapuppha,akālapupphehi,DN16.27,,"sabbaphāliphullā kho, ānanda, yamakasālā <b>akālapupphehi</b>. te tathāgatassa sarīraṃ okiranti ajjhokiranti abhippakiranti tathāgatassa pūjāya.","Ananda, this pair of Sal tress is in full blossom with out of season flowers. They rain down, scatter down, completely cover the body of the Tathagata, in worship of the Tathagata."
808,aṅgika,aṅgikaṃ,DHP191,,"(passati) dukkhaṃ dukkhasamuppādaṃ, dukkhassa ca atikkamaṃ, ariyañ'c'aṭṭh'<b>aṅgikaṃ</b> maggaṃ, dukkh'ūpasamagāminaṃ.","[one sees the four noble truths with right understanding:] suffering, the origin of suffering, the overcoming of suffering, and the noble eightfold path leading to release from suffering."
933,accatari,accatari,SNP53,,"yodha kāme <b>accatari</b>, saṅgaṃ loke duraccayaṃ, na so socati nājjheti, chinnasoto abandhano.","Whoever here has escaped sensual pleasures, an attachment to the world hard to overcome, he does not sorrow, he is not anxious, (he has) cut the stream, (he is) free."
1360,ajjhāvasati 1,ajjhāvasati,AN4.61,,"idha, gahapati, ariyasāvako vigatamalamaccherena cetasā agāraṃ <b>ajjhāvasati</b> muttacāgo payatapāṇi vossaggarato yācayogo dānasaṃvibhāgarato. ayaṃ vuccati, gahapati, cāgasampadā.","Here, householder, the master of the house [who is] a noble disciple lives the household life with a mind free from the stain of stinginess, giving freely, open-handed, delighting in generosity, ready to give to beggars, and who delights in sharing gifts. This, householder, is called the attainment of generosity."
1408,ajjhokirati,ajjhokiranti,DN16.27,,"sabbaphāliphullā kho, ānanda, yamakasālā akālapupphehi. te tathāgatassa sarīraṃ okiranti <b>ajjhokiranti</b> abhippakiranti tathāgatassa pūjāya.","Ananda, this pair of Sal tress is in full blossom with out of season flowers. They rain down, scatter down, completely cover the body of the Tathagata, in worship of the Tathagata."
1449,ajjhohari,ajjhohari,SN20.10,yes,"atha kho so, bhikkhave, mudumūsi gocarāya pakkāmi. tam'enaṃ biḷāro gahetvā sahasā asaṅkhāditvā <b>ajjhohari</b>. tassa so mudumūsi antam'pi khādi, antaguṇam'pi khādi.","Then, monks, that soft mouse set out for food. A cat grabbed it, and quickly swallowed it without chewing. That soft mouse ate the cat's intestines and it's mesentery."
1581,aññamaññābhigijjhanti,aññam'aññ'ābhigijjhanti,SN1.28,yes,"aññam'aññ'ābhigijjhanti, kāmesu analaṅ'katā.",They are jealous of each other; they are insatiable in regard to sensual pleasures.
2065,atikkama 1,atikkamaṃ,DHP191,,"(passati) dukkhaṃ dukkhasamuppādaṃ, dukkhassa ca <b>atikkamaṃ</b>, ariyañ'c'aṭṭh'aṅgikaṃ maggaṃ, dukkh'ūpasamagāminaṃ.","[one sees the four noble truths with right understanding:] suffering, the origin of suffering, the overcoming of suffering, and the noble eightfold path leading to release from suffering."
2513,attabyābādha,attabyābādhāya,MN61,,"sace tvaṃ, rāhula, paccavekkhamāno evaṃ jāneyyāsi, yaṃ kho ahaṃ idaṃ kāyena kammaṃ kattukāmo idaṃ me kāyakammaṃ <b>attabyābādhāya</b>'pi saṃvatteyya","If you know this while reflecting, “Whichever action that I wish to do by body, that physical action could lead to harm to myself” ..."
2826,athopi,atho'pi,SNP13,yes,"yān'īdha bhūtāni samāgatāni,  bhummāni vā yāni va antalikkhe. sabb'eva bhūtā sumanā bhavantu,  <b>atho'pi</b> sakkacca suṇantu bhāsitaṃ.","Whichever living beings gathered here, earthly or in the sky: may all living beings be happy and then let them respectfully listen to what is said ([this] utterance)."
3626,ananugiddha,ananugiddho,SNP8,,"santussako ca subharo ca, appakicco ca sallahukavutti, sant'indriyo ca nipako ca, appagabbho kulesu <b>ananugiddho</b>.","One who is satisfied and easy to support, with few obligations and whose livelihood is frugal; one whose (mental) faculties are calm and who is discerning, courteous among families and not greedy."
3824,analaṅkata 1,analaṅ'katā,SN1.28,yes,"aññam'aññ'ābhigijjhanti, kāmesu <b>analaṅ'katā</b>.",They are jealous of each other; they are insatiable in regard to sensual pleasures.
3963,anādiya,anādiya,SN22.22,yes,"nikkhipitvā garuṃ bhāraṃ, aññaṃ bhāraṃ <b>anādiya</b>. samūlaṃ taṇham'abbuyha, nicchāto parinibbuto”ti.","“Having placed down the onerous burden [and] not taking up another burden, pulling out craving with the root, he is desireless (without being hungry), entirely liberated.”"
4698,anupabbajjā,anupabbajjampāhaṃ,SN46.3,yes,"savanampāhaṃ, bhikkhave, tesaṃ bhikkhūnaṃ bahukāraṃ vadāmi; upasaṅkamanampāhaṃ … payirupāsanampāhaṃ … anussatimpāhaṃ … <b>anupabbajjampāhaṃ</b>","Just hearing of those monks, just approaching [them], just attending closely to [them], just recollecting [them], just following [them] into the monastic life, is very helpful I say."
4713,anupariyāya 1,anupariyāyapatho,AN7.67,yes,"seyyathā'pi rañño paccantime nagare <b>anupariyāyapatho</b> hoti ucco c'eva vitthato ca, evam'evaṃ kho, ariyasāvako ottappī hoti, ottappati kāyaduccaritena vacīduccaritena manoduccaritena","Just as the encircling path around the frontier fortress of the king is high and even broad [for protecting its inhabitants]; in the same way, indeed, a noble disciple is afraid of doing wrong and feels conscience about bodily misconduct, verbal misconduct, and mental misconduct."
4717,anupariyāyapatha,anupariyāyapatho,AN7.67,yes,"seyyathā'pi rañño paccantime nagare <b>anupariyāyapatho</b> hoti ucco c'eva vitthato ca, evam'evaṃ kho, ariyasāvako ottappī hoti, ottappati kāyaduccaritena vacīduccaritena manoduccaritena","Just as the encircling path around the frontier fortress of the king is high and even broad [for protecting its inhabitants]; in the same way, indeed, a noble disciple is afraid of doing wrong and feels conscience about bodily misconduct, verbal misconduct, and mental misconduct."
